============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: 7
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R223 c0 b595 m8413.5 rU
R224 c0 b637 m9008.5 rU
R225 c0 b582 m9645.5 rD
R226 c0 b582 m9645.5 rB
R227 c0 b546 m9063.5 rW
R228 c0 b612 m10155.5 rL
R229 c0 b576 m9543.5 rW
R230 c-2 b510 m10119.5 rS
R231 c-2 b495 m9864.5 rL
R232 c-1 b470 m9369.5 rW
R233 c-2 b495 m9839.5 rU
R234 c-3 b416 m10334.5 rB
R235 c-3 b400 m9918.5 rB
R236 c-2 b480 m9518.5 rU
R237 c0 b600 m9998.5 rS
R238 c0 b679 m9698.5 rS
R239 c0 b564 m9359.0 rH
R240 c0 b528 m8795.0 rS
R241 c0 b516 m8531.0 rH
R242 c0 b486 m8015.0 rL
R243 c0 b532 m7529.0 rB
R244 c0 b420 m6997.0 rL
R245 c0 b462 m6577.0 rL
R246 c0 b372 m6115.0 rW
R247 c0 b390 m6487.0 rH
R248 c-1 b305 m6097.0 rW
R249 c-5 b195 m6402.0 rU
R250 c-4 b198 m6597.0 rJ
R251 c-3 b276 m6894.0 rL
R252 c-1 b335 m6618.0 rL
R253 c0 b441 m6283.0 rU
R254 c0 b476 m6724.0 rS
R255 c0 b455 m6486.0 rH
R256 c0 b366 m6031.0 rU
R257 c-1 b320 m6397.0 rL
R258 c0 b406 m5757.0 rW
R259 c-1 b310 m6163.0 rL
R260 c-2 b295 m5853.0 rW
R261 c-3 b248 m6148.0 rU
R262 c-4 b192 m6396.0 rH
R263 c-3 b252 m6204.0 rW
R264 c-1 b325 m6456.0 rH
R265 c-1 b310 m6131.0 rU
R266 c-1 b325 m6441.0 rU
R267 c-1 b340 m6766.0 rU
R268 c-2 b360 m7106.0 rL
R269 c-1 b340 m6746.0 rL
R270 c-1 b325 m6406.0 rW
R271 c0 b497 m7056.0 rW
R272 c-1 b380 m7553.0 rH
R273 c0 b432 m7173.0 rS
R274 c-1 b350 m6957.0 rU
R275 c1 b592 m7307.0 rW
R276 c0 b474 m7899.0 rL
R277 c0 b450 m7425.0 rL
R278 c2 b560 m6975.0 rL
R279 c3 b585 m6415.0 rU
R280 c2 b630 m7000.0 rU
R281 c4 b770 m7630.0 rW
R282 c3 b756 m8400.0 rW
R283 c0 b552 m9156.0 rL
R284 c-3 b348 m8604.0 rJ
R285 c-2 b460 m9126.0 rD
R286 c-4 b276 m9126.0 rU
R287 c-4 b285 m9402.0 rD
R288 c-3 b380 m9402.0 rW
R289 c-3 b408 m10162.0 rU
R290 c-1 b550 m10978.0 rW
R291 c-1 b580 m11528.0 rL
R292 c-1 b550 m10948.0 rD
R293 c0 b660 m10948.0 rW
R294 c-1 b585 m11608.0 rL
R295 c0 b666 m11023.0 rD
R296 c0 b777 m11023.0 rU
R297 c0 b882 m12577.0 rW
R298 c0 b810 m13459.0 rL
R299 c1 b889 m12649.0 rW
R300 c0 b952 m13538.0 rS
R301 c0 b917 m13062.0 rU
R302 c0 b840 m13979.0 rJ
R303 c0 b918 m15239.0 rU
R304 c1 b1368 m17075.0 rU
R305 c0 b1110 m18443.0 rU
R306 c0 b1449 m20663.0 rS
R307 c1 b1600 m19938.5 rS
R308 c1 b1536 m19138.5 rB
R309 c1 b1416 m17602.5 rL
R310 c2 b1184 m14770.5 rS
R311 c2 b1278 m14178.5 rU
R312 c1 b1240 m15456.5 rL
R313 c2 b1287 m14216.5 rU
R314 c1 b1248 m15503.5 rB
R315 c1 b1144 m14255.5 rW
R316 c1 b1328 m16543.5 rD
R317 c0 b1162 m16543.5 rL
R318 c1 b1144 m14219.5 rU
R319 c4 b1386 m15363.5 rU
R320 c3 b1512 m16749.5 rH
R321 c3 b1377 m15237.5 rJ
R322 c1 b1392 m17303.5 rU
R323 c2 b1496 m18695.5 rU
R324 c3 b1818 m20191.5 rL
R325 c1 b1472 m18373.5 rU
R326 c1 b1712 m21317.5 rU
R327 c2 b1848 m23029.5 rL
R328 c3 b1908 m21181.5 rW
R329 c1 b1848 m23089.5 rB
R330 c1 b1704 m21241.5 rS
R331 c1 b1632 m20389.5 rL
R332 c1 b1504 m18757.5 rU
R333 c1 b1624 m20261.5 rB
R334 c1 b1496 m18637.5 rH
R335 c1 b1099 m15645.5 rS
R336 c0 b1057 m15096.0 rS
R337 c0 b876 m14567.5 rS
R338 c0 b852 m14129.5 rJ
R339 c-1 b775 m15407.5 rW
R340 c1 b1190 m16957.5 rH
R341 c0 b1106 m15767.5 rU
R342 c2 b1620 m17979.5 rL
R343 c2 b1332 m14739.5 rW
R344 c3 b1449 m16071.5 rU
R345 c2 b1584 m17520.5 rL
R346 c2 b1280 m15936.5 rU
R347 c3 b1665 m18496.5 rW
R348 c3 b1818 m20161.5 rW
R349 c1 b1540 m21979.5 rU
R350 c0 b1652 m23519.5 rU
R351 c0 b1512 m25171.5 rU
R352 c1 b2136 m26683.5 rS
R353 c1 b1799 m25615.5 rD
R354 c1 b1799 m25615.5 rJ
R355 c0 b1704 m28314.5 rU
R356 c0 b2226 m31722.5 rB
R357 c0 b2065 m29496.5 rS
R358 c0 b1710 m28464.0 rD
R359 c-1 b1425 m28464.0 rL
R360 c-1 b1355 m27039.0 rD
R361 c-3 b1084 m27039.0 rD
R362 c-4 b813 m27039.0 rU
R363 c-6 b558 m27852.0 rU
R364 c-6 b570 m28410.0 rU
R365 c-5 b888 m29550.0 rS
R366 c-5 b876 m29106.0 rD
R367 c-4 b876 m29106.0 rL
R368 c-4 b822 m27354.0 rJ
R369 c-5 b858 m28587.0 rD
R370 c-4 b858 m28587.0 rH
R371 c-2 b1390 m27729.0 rW
R372 c-3 b1168 m29119.0 rU
R373 c-2 b1575 m31455.0 rU
R374 c-3 b1388 m34605.0 rH
R375 c0 b1998 m33217.0 rH
R376 c0 b2191 m31219.0 rL
R377 c0 b2037 m29028.0 rS
R378 c0 b1967 m28009.5 rL
R379 c0 b1827 m26042.5 rS
R380 c0 b1512 m25129.0 rW
R381 c0 b1602 m26641.0 rW
R382 c-1 b1415 m28243.0 rW
R383 c-2 b1485 m29658.0 rL
R384 c-2 b1410 m28173.0 rJ
R385 c-4 b909 m30288.0 rB
R386 c-4 b882 m29379.0 rH
R387 c-2 b1425 m28497.0 rD
R388 c0 b1995 m28497.0 rL
R389 c1 b2128 m26502.0 rL
R390 c0 b1708 m24374.0 rU
R391 c0 b1566 m26082.0 rU
R392 c-2 b1385 m27648.0 rU
R393 c0 b1746 m29033.0 rS
R394 c0 b1692 m28160.0 rU
R395 c2 b2691 m29852.0 rB
R396 c2 b2448 m27161.0 rJ
R397 c0 b2163 m30833.0 rS
R398 c0 b1788 m29751.5 rW
R399 c-1 b1580 m31539.5 rL
R400 c0 b1800 m29959.5 rH
R401 c0 b1974 m28159.5 rL
R402 c1 b2096 m26185.5 rH
R403 c3 b2169 m24089.5 rS
R404 c3 b2079 m23005.0 rL
R405 c4 b2100 m20926.0 rS
R406 c5 b1990 m19876.0 rU
R407 c4 b2390 m23856.0 rJ
R408 c3 b2475 m27441.0 rU
R409 c3 b2700 m29916.0 rH
R410 c0 b1911 m27216.0 rW
R411 c0 b2044 m29127.0 rB
R412 c0 b1897 m27083.0 rL
R413 c1 b2016 m25186.0 rL
R414 c1 b1856 m23170.0 rB
R415 c1 b1712 m21314.0 rS
R416 c1 b1640 m20458.0 rU
R417 c0 b1326 m22098.0 rL
R418 c0 b1456 m20772.0 rS
R419 c0 b1407 m20044.0 rS
R420 c0 b1164 m19340.5 rU
R421 c1 b1648 m20504.5 rL
R422 c3 b1701 m18856.5 rH
R423 c3 b1548 m17155.5 rU
R424 c2 b1692 m18703.5 rW
R425 c1 b1632 m20395.5 rB
R426 c1 b1504 m18763.5 rD
R427 c0 b1316 m18763.5 rB
R428 c0 b1225 m17447.5 rH
R429 c1 b1304 m16222.5 rH
R430 c1 b1200 m14918.5 rW
R431 c0 b972 m16118.5 rS
R432 c0 b942 m15632.5 rD
R433 c0 b1099 m15632.5 rL
R434 c1 b1080 m13434.5 rS
R435 c0 b903 m12894.5 rL
R436 c0 b840 m11991.5 rW
R437 c1 b1032 m12831.5 rH
R438 c0 b708 m11799.5 rJ
R439 c0 b903 m12861.5 rW
R440 c0 b828 m13764.5 rW
R441 c0 b876 m14592.5 rS
R442 c0 b852 m14154.5 rU
R443 c-2 b755 m15006.5 rW
R444 c-2 b790 m15761.5 rU
R445 c0 b1044 m17341.5 rB
R446 c0 b978 m16297.5 rD
R447 c-1 b815 m16297.5 rW
R448 c-2 b860 m17112.5 rB
R449 c-1 b815 m16252.5 rU
R450 c0 b1026 m17067.5 rW
R451 c-1 b905 m18093.5 rD
R452 c0 b1086 m18093.5 rB
R453 c-1 b855 m17007.5 rW
R454 c-2 b895 m17862.5 rS
R455 c-3 b700 m17415.0 rU
R456 c-3 b728 m18115.0 rD
R457 c-3 b728 m18115.0 rH
R458 c-2 b870 m17387.0 rD
R459 c-1 b870 m17387.0 rB
R460 c-1 b830 m16517.0 rW
R461 c-2 b870 m17347.0 rU
R462 c-2 b915 m18217.0 rU
R463 c-2 b960 m19132.0 rS
R464 c-1 b935 m18652.0 rS
R465 c-2 b910 m18184.5 rD
R466 c-3 b728 m18184.5 rS
R467 c-3 b716 m17820.5 rU
R468 c-2 b965 m19252.5 rU
R469 c-2 b1015 m20217.5 rU
R470 c-3 b852 m21232.5 rS
R471 c-2 b1045 m20806.5 rL
R472 c-1 b990 m19761.5 rB
R473 c-2 b940 m18771.5 rW
R474 c-2 b990 m19711.5 rL
R475 c-2 b940 m18721.5 rL
R476 c-1 b845 m16841.5 rL
R477 c-1 b800 m15996.5 rW
R478 c0 b1008 m16796.5 rS
R479 c0 b978 m16292.5 rL
R480 c-2 b770 m15314.5 rH
R481 c-3 b584 m14544.5 rD
R482 c-3 b584 m14544.5 rS
R483 c-3 b572 m14252.5 rU
R484 c-4 b447 m14824.5 rL
R485 c-2 b720 m14377.5 rB
R486 c-2 b685 m13657.5 rD
R487 c-2 b685 m13657.5 rU
R488 c0 b906 m15027.5 rL
R489 c0 b852 m14121.5 rL
R490 c-1 b665 m13269.5 rU
R491 c-2 b700 m13934.5 rL
R492 c-1 b665 m13234.5 rW
R493 c-3 b556 m13899.5 rU
R494 c-3 b580 m14455.5 rH
R495 c-3 b532 m13295.5 rD
R496 c-3 b532 m13295.5 rU
R497 c-2 b720 m14359.5 rU
R498 c-1 b755 m15079.5 rD
R499 c0 b906 m15079.5 rL
R500 c0 b994 m14173.5 rU
R501 c0 b912 m15167.5 rU
R502 c0 b1127 m16079.5 rW
R503 c0 b1038 m17206.5 rJ
R504 c-1 b940 m18763.5 rW
R505 c-2 b990 m19703.5 rW
R506 c-3 b828 m20693.5 rU
R507 c-3 b864 m21521.5 rB
R508 c-2 b1035 m20657.5 rW
R509 c0 b1368 m22727.5 rW
R510 c-2 b1205 m24095.5 rU
R511 c-3 b1016 m25300.5 rL
R512 c-2 b1215 m24284.5 rW
R513 c-3 b1020 m25499.5 rL
R514 c-2 b1175 m23459.5 rS
R515 c-2 b1145 m22872.0 rB
R516 c-1 b1090 m21727.0 rB
R517 c-1 b1035 m20637.0 rU
R518 c-1 b1085 m21672.0 rW
R519 c-3 b912 m22757.0 rU
R520 c-3 b984 m24581.0 rU
R521 c-3 b1064 m26549.0 rH
R522 c-5 b765 m25485.0 rS
R523 c-4 b756 m25102.5 rB
R524 c-5 b732 m24346.5 rH
R525 c-4 b711 m23614.5 rS
R526 c-4 b699 m23259.0 rS
R527 c-4 b690 m22909.5 rL
R528 c-5 b669 m22219.5 rU
R529 c-4 b687 m22888.5 rW
R530 c-4 b708 m23575.5 rU
R531 c-3 b972 m24283.5 rB
R532 c-3 b936 m23311.5 rJ
R533 c-3 b992 m24715.5 rL
R534 c-4 b714 m23723.5 rL
R535 c-4 b693 m23009.5 rD
R536 c-3 b924 m23009.5 rB
R537 c-3 b884 m22085.5 rL
R538 c-2 b1065 m21201.5 rU
R539 c-3 b892 m22266.5 rU
R540 c-2 b1160 m23158.5 rH
R541 c-1 b1100 m21998.5 rS
R542 c-2 b1075 m21448.5 rS
R543 c-2 b1050 m20911.0 rU
R544 c-3 b880 m21961.0 rD
R545 c-4 b660 m21961.0 rL
R546 c-3 b828 m20641.0 rU
R547 c-1 b1075 m21469.0 rS
R548 c-2 b1050 m20931.5 rB
R549 c0 b1194 m19881.5 rB
R550 c-1 b935 m18687.5 rB
R551 c0 b1068 m17752.5 rL
R552 c1 b1169 m16684.5 rD
R553 c1 b1336 m16684.5 rU
R554 c0 b1086 m18020.5 rU
R555 c0 b1152 m19106.5 rB
R556 c-1 b900 m17954.5 rW
R557 c-2 b945 m18854.5 rS
R558 c-2 b920 m18382.0 rW
R559 c-3 b776 m19302.0 rU
R560 c-2 b1005 m20078.0 rL
R561 c-1 b955 m19073.0 rD
R562 c-1 b955 m19073.0 rW
R563 c-1 b1005 m20028.0 rW
R564 c-1 b1055 m21033.0 rU
R565 c-2 b1105 m22088.0 rH
R566 c-2 b1050 m20983.0 rW
R567 c-3 b884 m22033.0 rB
R568 c-3 b848 m21149.0 rU
R569 c-2 b1100 m21997.0 rS
R570 c-3 b860 m21447.0 rU
R571 c-2 b1120 m22307.0 rW
R572 c-3 b940 m23427.0 rS
R573 c-4 b690 m22957.0 rL
R574 c-4 b669 m22267.0 rL
R575 c-2 b1080 m21598.0 rL
R576 c-3 b824 m20518.0 rL
R577 c-3 b788 m19694.0 rS
R578 c-2 b965 m19300.0 rU
R579 c-2 b1015 m20265.0 rU
R580 c-4 b639 m21280.0 rU
R581 c-4 b660 m21919.0 rL
R582 c-4 b639 m21259.0 rS
R583 c-4 b630 m20939.5 rS
R584 c-5 b621 m20624.5 rB
R585 c-5 b603 m20003.5 rL
R586 c-5 b585 m19400.5 rU
R587 c-5 b600 m19985.5 rL
R588 c-5 b564 m18785.5 rL
R589 c-4 b531 m17657.5 rJ
R590 c-1 b925 m18454.5 rL
R591 c-2 b880 m17529.5 rW
R592 c-3 b740 m18409.5 rH
R593 c-3 b708 m17669.5 rH
R594 c-5 b510 m16961.5 rL
R595 c-5 b495 m16451.5 rB
R596 c-5 b480 m15956.5 rL
R597 c-5 b465 m15476.5 rU
R598 c-4 b480 m15941.5 rL
R599 c-3 b620 m15461.5 rL
R600 c-3 b596 m14841.5 rH
R601 c-2 b715 m14245.5 rU
R602 c0 b900 m14960.5 rW
R603 c0 b1176 m16760.5 rH
R604 c1 b1015 m14408.5 rU
R605 c2 b1240 m15423.5 rL
R606 c2 b1170 m12943.5 rU
R607 c2 b1278 m14113.5 rL
R608 c0 b903 m12835.5 rL
R609 c0 b840 m11932.5 rJ
R610 c0 b792 m13192.5 rB
R611 c0 b750 m12400.5 rH
R612 c0 b819 m11650.5 rJ
R613 c0 b774 m12879.5 rB
R614 c0 b732 m12105.5 rH
R615 c0 b684 m11373.5 rL
R616 c-1 b535 m10689.5 rJ
R617 c-1 b575 m11492.5 rW
R618 c-3 b484 m12067.5 rJ
R619 c-3 b512 m12793.5 rW
R620 c-4 b402 m13305.5 rS
R621 c-4 b396 m13104.5 rS
R622 c-3 b520 m12906.5 rW
R623 c-4 b405 m13426.5 rB
R624 c-3 b524 m13021.5 rW
R625 c-2 b680 m13545.5 rJ
R626 c-2 b730 m14565.5 rB
R627 c-3 b556 m13835.5 rW
R628 c-5 b432 m14391.5 rL
R629 c-5 b408 m13527.5 rL
R630 c-5 b396 m13119.5 rW
R631 c-4 b420 m13911.5 rB
R632 c-4 b405 m13491.5 rU
R633 c-4 b417 m13896.5 rU
R634 c-4 b432 m14313.5 rL
R635 c-4 b417 m13881.5 rH
R636 c-1 b675 m13464.5 rS
R637 c-1 b660 m13127.0 rU
R638 c-1 b690 m13787.0 rL
R639 c-2 b655 m13097.0 rD
R640 c-3 b524 m13097.0 rL
R641 c-2 b605 m12049.0 rL
R642 c-1 b575 m11444.0 rW
R643 c0 b726 m12019.0 rJ
R644 c-1 b660 m13108.0 rL
R645 c-3 b500 m12448.0 rU
R646 c-4 b390 m12948.0 rH
