============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: O
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R274 c1 b2667 m38072.5 rJ
R275 c3 b3789 m42073.5 rU
R276 c3 b4473 m49651.5 rU
R277 c4 b5860 m58597.5 rU
R278 c4 b6336 m70317.5 rU
R279 c3 b6903 m76653.5 rU
R280 c5 b8360 m83556.5 rS
R281 c5 b7940 m79376.5 rB
R282 c5 b7150 m71436.5 rL
R283 c6 b7073 m64286.5 rL
R284 c5 b5730 m57213.5 rH
R285 c3 b4635 m51483.5 rU
R286 c1 b3934 m56118.5 rW
R287 c6 b6010 m60052.5 rJ
R288 c4 b6219 m69067.5 rW
R289 c4 b7530 m75286.5 rL
R290 c6 b6780 m67756.5 rU
R291 c4 b6714 m74536.5 rW
R292 c4 b7317 m81250.5 rL
R293 c3 b6660 m73933.5 rU
R294 c3 b7857 m87253.5 rB
R295 c4 b7146 m79396.5 rW
R296 c3 b7794 m86542.5 rS
R297 c2 b7443 m82645.5 rB
R298 c3 b6777 m75202.5 rU
R299 c4 b7992 m88756.5 rL
R300 c6 b8080 m80764.5 rL
R301 c5 b7270 m72684.5 rL
R302 c8 b6984 m58144.5 rW
R303 c12 b8664 m72112.5 rU
R304 c9 b9696 m80776.5 rL
R305 c10 b8532 m71080.5 rW
R306 c12 b9564 m79612.5 rL
R307 c11 b8412 m70048.5 rW
R308 c11 b9420 m78460.5 rB
R309 c12 b8292 m69040.5 rW
R310 c10 b9288 m77332.5 rB
R311 c12 b8172 m68044.5 rS
R312 c11 b7680 m63958.5 rB
R313 c9 b6756 m56278.5 rU
R314 c8 b6941 m63034.5 rW
R315 c6 b7000 m69975.5 rL
R316 c6 b6300 m62975.5 rU
R317 c4 b6930 m69275.5 rH
R318 c5 b6240 m62345.5 rD
R319 c3 b5616 m62345.5 rL
R320 c3 b5112 m56729.5 rU
R321 c0 b4333 m61841.5 rB
R322 c-2 b2880 m57508.5 rU
R323 c0 b3624 m60388.5 rU
R324 c-1 b3205 m64012.5 rD
R325 c-1 b3205 m64012.5 rW
R326 c0 b4038 m67217.5 rU
R327 c0 b4991 m71255.5 rU
R328 c2 b6104 m76246.5 rB
R329 c1 b5616 m70142.5 rL
R330 c3 b5814 m64526.5 rJ
R331 c7 b8063 m73247.5 rW
R332 c6 b8140 m81310.5 rL
R333 c7 b7161 m65030.5 rW
R334 c8 b8664 m72191.5 rL
R335 c5 b6360 m63527.5 rL
R336 c7 b6292 m57167.5 rW
R337 c6 b6985 m63459.5 rJ
R338 c7 b8140 m73937.5 rU
R339 c8 b10836 m90217.5 rW
R340 c8 b11121 m101053.5 rW
R341 c6 b12342 m112174.5 rH
R342 c6 b9990 m99832.5 rD
R343 c7 b10989 m99832.5 rW
R344 c7 b12199 m110821.5 rL
R345 c5 b9870 m98622.5 rH
R346 c7 b9768 m88752.5 rB
R347 c8 b8690 m78984.5 rB
R348 c6 b7733 m70294.5 rH
R349 c3 b5634 m62561.5 rB
R350 c3 b5130 m56927.5 rS
R351 c4 b4896 m54362.5 rB
R352 c3 b4455 m49466.5 rD
R353 c0 b2970 m49466.5 rL
R354 c2 b3720 m46496.5 rB
R355 c3 b3852 m42776.5 rL
R356 c2 b3510 m38924.5 rW
R357 c0 b2550 m42434.5 rW
R358 c0 b2700 m44984.5 rL
R359 c0 b2538 m42284.5 rW
R360 c0 b3143 m44822.5 rU
R361 c3 b4608 m51108.5 rW
R362 c2 b5022 m55716.5 rU
R363 c4 b5922 m65760.5 rD
R364 c5 b6580 m65760.5 rL
R365 c7 b5797 m52600.5 rW
R366 c5 b5840 m58397.5 rW
R367 c4 b5787 m64237.5 rW
R368 c4 b6309 m70024.5 rW
R369 c1 b5348 m76333.5 rL
R370 c1 b5680 m70985.5 rW
R371 c5 b7670 m76665.5 rS
R372 c4 b6561 m72830.5 rW
R373 c2 b7146 m79391.5 rW
R374 c4 b7794 m86537.5 rL
R375 c7 b7810 m70949.5 rL
R376 c9 b7584 m63139.5 rW
R377 c7 b7788 m70723.5 rW
R378 c5 b7860 m78511.5 rB
R379 c5 b7070 m70651.5 rD
R380 c3 b6363 m70651.5 rB
R381 c2 b5787 m64288.5 rU
R382 c0 b4907 m70075.5 rB
R383 c0 b3912 m65168.5 rD
R384 c1 b4564 m65168.5 rU
R385 c2 b5584 m69732.5 rL
R386 c3 b5778 m64148.5 rU
R387 c0 b4900 m69926.5 rL
R388 c2 b5859 m65026.5 rW
R389 c2 b5672 m70885.5 rS
R390 c2 b6129 m68049.5 rL
R391 c2 b4960 m61920.5 rS
R392 c1 b4165 m59440.5 rL
R393 c1 b3871 m55275.5 rH
R394 c2 b4635 m51404.5 rJ
R395 c1 b4672 m58357.5 rU
R396 c1 b5048 m63029.5 rW
R397 c2 b5448 m68077.5 rU
R398 c-1 b3680 m73525.5 rU
R399 c-1 b3865 m77205.5 rU
R400 c0 b4866 m81070.5 rW
R401 c1 b7272 m90802.5 rH
R402 c2 b7524 m83530.5 rL
R403 c5 b7610 m76006.5 rS
R404 c5 b7230 m72201.5 rL
R405 c4 b6500 m64971.5 rH
R406 c4 b5265 m58471.5 rW
R407 c1 b4466 m63736.5 rL
R408 c1 b4744 m59270.5 rL
R409 c3 b4914 m54526.5 rB
R410 c3 b4473 m49612.5 rS
R411 c2 b3792 m47376.0 rB
R412 c1 b3052 m43584.0 rH
R413 c3 b3654 m40532.0 rH
R414 c6 b3690 m36878.0 rL
R415 c7 b3652 m33188.0 rL
R416 c11 b3552 m29536.0 rB
R417 c10 b3120 m25984.0 rL
R418 c10 b2748 m22864.0 rH
R419 c10 b2424 m20116.0 rS
R420 c10 b2280 m18904.0 rW
R421 c9 b2820 m23464.0 rL
R422 c6 b2277 m20644.0 rW
R423 c5 b2300 m22921.0 rL
R424 c6 b2070 m20621.0 rW
R425 c7 b2497 m22691.0 rH
R426 c8 b2424 m20194.0 rS
R427 c7 b2090 m18982.0 rW
R428 c4 b2110 m21072.0 rL
R429 c5 b1900 m18962.0 rW
R430 c2 b1881 m20862.0 rS
R431 c2 b1600 m19921.5 rU
R432 c1 b1728 m21521.5 rU
R433 c1 b1864 m23249.5 rL
R434 c4 b1926 m21385.5 rB
R435 c2 b1560 m19459.5 rB
R436 c2 b1611 m17899.5 rL
R437 c1 b1141 m16288.5 rW
R438 c2 b1400 m17429.5 rW
R439 c0 b1323 m18829.5 rL
R440 c3 b1584 m17506.5 rS
R441 c3 b1512 m16714.5 rD
R442 c5 b1680 m16714.5 rD
R443 c8 b1848 m16714.5 rW
R444 c5 b1860 m18562.5 rU
R445 c5 b2230 m22282.5 rU
R446 c8 b3216 m26742.5 rW
R447 c6 b3000 m29958.5 rW
R448 c9 b3960 m32958.5 rU
R449 c8 b4070 m36918.5 rU
R450 c8 b4920 m40988.5 rJ
R451 c6 b5324 m48368.5 rH
R452 c7 b4741 m43044.5 rU
R453 c5 b4780 m47785.5 rU
R454 c5 b5260 m52565.5 rJ
R455 c6 b6050 m60455.5 rL
R456 c7 b5995 m54405.5 rL
R457 c6 b5335 m48410.5 rD
R458 c7 b5335 m48410.5 rH
R459 c6 b4741 m43075.5 rL
R460 c8 b4224 m38334.5 rW
R461 c6 b4686 m42558.5 rW
R462 c6 b4730 m47244.5 rU
R463 c6 b5720 m51974.5 rS
R464 c6 b5412 m49114.5 rL
R465 c8 b4818 m43702.5 rS
R466 c7 b4543 m41293.5 rB
R467 c8 b4048 m36750.5 rD
R468 c9 b4416 m36750.5 rH
R469 c9 b3888 m32334.5 rU
R470 c9 b4824 m40110.5 rS
R471 c8 b4147 m37698.5 rW
R472 c6 b4609 m41845.5 rU
R473 c6 b5115 m46454.5 rW
R474 c5 b5160 m51569.5 rH
R475 c3 b4185 m46409.5 rS
R476 c2 b3552 m44317.0 rW
R477 c3 b4311 m47869.0 rW
R478 c1 b4176 m52180.0 rU
R479 c1 b4512 m56356.0 rH
R480 c0 b3633 m51844.0 rL
R481 c3 b4347 m48211.0 rH
R482 c2 b3951 m43864.0 rU
R483 c2 b3832 m47815.0 rW
R484 c2 b4136 m51647.0 rU
R485 c3 b5022 m55783.0 rU
R486 c1 b4872 m60805.0 rU
R487 c2 b5256 m65677.0 rB
R488 c1 b4840 m60421.0 rD
R489 c3 b5445 m60421.0 rL
R490 c4 b5500 m54976.0 rH
R491 c4 b4950 m49476.0 rS
R492 c3 b4239 m47001.0 rD
R493 c2 b4239 m47001.0 rW
R494 c4 b4995 m55479.0 rB
R495 c2 b4040 m50484.0 rU
R496 c1 b3822 m54524.0 rD
R497 c2 b4914 m54524.0 rU
R498 c4 b5355 m59438.0 rL
R499 c5 b5410 m54083.0 rW
R500 c2 b5355 m59493.0 rH
R501 c0 b3252 m54138.0 rL
R502 c1 b3563 m50886.0 rU
R503 c-2 b2725 m54449.0 rS
R504 c-1 b2655 m53086.5 rW
R505 c-2 b2790 m55741.5 rL
R506 c-2 b2650 m52951.5 rL
R507 c0 b3024 m50301.5 rJ
R508 c0 b3843 m54837.5 rL
R509 c0 b3060 m50994.5 rU
R510 c0 b4004 m57114.5 rL
R511 c3 b4788 m53110.5 rL
R512 c6 b4840 m48322.5 rU
R513 c5 b5320 m53162.5 rL
R514 c6 b4686 m42522.5 rL
R515 c5 b3790 m37836.5 rD
R516 c7 b4169 m37836.5 rS
R517 c7 b3938 m35752.0 rL
R518 c5 b3190 m31814.0 rB
R519 c4 b2870 m28624.0 rH
R520 c4 b2322 m25754.0 rJ
R521 c4 b2637 m29237.0 rB
R522 c5 b2660 m26600.0 rB
R523 c5 b2400 m23940.0 rL
R524 c5 b1920 m19140.0 rU
R525 c6 b2321 m21060.0 rU
R526 c4 b2106 m23381.0 rL
R527 c7 b2343 m21275.0 rW
R528 c5 b2370 m23618.0 rJ
R529 c4 b2720 m27173.0 rL
R530 c6 b2695 m24453.0 rL
R531 c5 b1910 m19063.0 rS
R532 c4 b1820 m18108.0 rJ
R533 c3 b1881 m20838.0 rU
R534 c1 b1824 m22719.0 rW
R535 c2 b2214 m24543.0 rL
R536 c2 b1792 m22329.0 rL
R537 c1 b1442 m20537.0 rS
