============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: S
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R373 c0 b798 m13225.0 rS
R374 c0 b774 m12826.0 rW
R375 c0 b816 m13600.0 rU
R376 c0 b870 m14416.0 rS
R377 c0 b840 m13981.0 rL
R378 c0 b744 m12301.0 rL
R379 c0 b696 m11557.0 rU
R380 c0 b780 m12949.0 rW
R381 c0 b828 m13729.0 rD
R382 c0 b828 m13729.0 rS
R383 c0 b804 m13315.0 rS
R384 c0 b780 m12913.0 rW
R385 c0 b870 m14473.0 rL
R386 c0 b768 m12733.0 rS
R387 c0 b744 m12349.0 rL
R388 c0 b702 m11605.0 rB
R389 c0 b660 m10903.0 rU
R390 c0 b696 m11563.0 rH
R391 c0 b654 m10867.0 rU
R392 c0 b696 m11521.0 rU
R393 c0 b738 m12217.0 rS
R394 c0 b714 m11848.0 rW
R395 c0 b756 m12562.0 rS
R396 c0 b732 m12184.0 rW
R397 c0 b780 m12916.0 rJ
R398 c0 b846 m14086.0 rS
R399 c0 b822 m13663.0 rL
R400 c0 b774 m12841.0 rU
R401 c0 b822 m13615.0 rW
R402 c0 b870 m14437.0 rL
R403 c0 b816 m13567.0 rS
R404 c0 b792 m13159.0 rW
R405 c0 b840 m13951.0 rL
R406 c0 b792 m13111.0 rH
R407 c0 b744 m12319.0 rW
R408 c0 b786 m13063.0 rD
R409 c0 b786 m13063.0 rB
R410 c0 b738 m12277.0 rU
R411 c0 b786 m13015.0 rL
R412 c0 b738 m12229.0 rU
R413 c0 b780 m12967.0 rU
R414 c0 b828 m13747.0 rL
R415 c0 b780 m12919.0 rW
R416 c0 b822 m13699.0 rL
R417 c0 b774 m12877.0 rD
R418 c0 b774 m12877.0 rS
R419 c0 b750 m12490.0 rS
R420 c0 b732 m12115.0 rW
R421 c0 b774 m12847.0 rS
R422 c0 b750 m12460.0 rL
R423 c0 b708 m11710.0 rB
R424 c0 b666 m11002.0 rB
R425 c0 b624 m10336.0 rW
R426 c0 b660 m10960.0 rL
R427 c0 b618 m10300.0 rW
R428 c0 b660 m10918.0 rL
R429 c0 b618 m10258.0 rJ
R430 c0 b672 m11185.0 rH
R431 c0 b636 m10513.0 rW
R432 c0 b672 m11149.0 rD
R433 c0 b672 m11149.0 rL
R434 c0 b630 m10477.0 rU
R435 c0 b708 m11737.0 rU
R436 c0 b750 m12445.0 rB
R437 c0 b702 m11695.0 rH
R438 c0 b660 m10993.0 rL
R439 c0 b624 m10333.0 rS
R440 c0 b606 m10021.0 rL
R441 c0 b570 m9415.0 rW
R442 c0 b600 m9985.0 rW
R443 c0 b636 m10585.0 rL
R444 c0 b600 m9949.0 rB
R445 c0 b564 m9349.0 rB
R446 c0 b528 m8785.0 rL
R447 c0 b498 m8257.0 rH
R448 c0 b468 m7759.0 rL
R449 c0 b438 m7291.0 rB
R450 c0 b414 m6853.0 rW
R451 c0 b462 m7681.0 rL
R452 c0 b438 m7219.0 rS
R453 c0 b420 m7000.0 rL
R454 c0 b396 m6580.0 rL
R455 c0 b372 m6184.0 rJ
R456 c0 b408 m6742.0 rW
R457 c0 b432 m7150.0 rU
R458 c0 b456 m7582.0 rD
R459 c0 b456 m7582.0 rL
R460 c0 b432 m7126.0 rW
R461 c0 b456 m7558.0 rW
R462 c0 b486 m8014.0 rU
R463 c0 b510 m8500.0 rB
R464 c0 b480 m7990.0 rH
R465 c0 b456 m7510.0 rB
R466 c0 b426 m7054.0 rB
R467 c0 b402 m6628.0 rL
R468 c0 b354 m5824.0 rW
R469 c0 b372 m6178.0 rL
R470 c0 b354 m5806.0 rL
R471 c0 b330 m5452.0 rW
R472 c0 b372 m6112.0 rS
R473 c0 b360 m5926.0 rU
R474 c0 b378 m6286.0 rB
R475 c0 b360 m5908.0 rL
R476 c0 b336 m5548.0 rJ
R477 c0 b366 m6052.0 rU
R478 c0 b408 m6784.0 rU
R479 c0 b432 m7192.0 rL
R480 c0 b408 m6760.0 rU
R481 c0 b432 m7168.0 rU
R482 c0 b456 m7600.0 rB
R483 c0 b432 m7144.0 rL
R484 c0 b408 m6712.0 rU
R485 c0 b432 m7120.0 rS
R486 c0 b420 m6904.0 rL
R487 c0 b390 m6484.0 rB
R488 c0 b366 m6094.0 rS
R489 c0 b360 m5911.0 rD
R490 c0 b360 m5911.0 rW
R491 c0 b378 m6271.0 rW
R492 c0 b402 m6649.0 rU
R493 c0 b426 m7051.0 rU
R494 c0 b450 m7477.0 rL
R495 c0 b426 m7027.0 rU
R496 c0 b450 m7453.0 rU
R497 c0 b480 m7903.0 rW
R498 c0 b504 m8383.0 rL
R499 c0 b474 m7879.0 rU
R500 c0 b504 m8353.0 rB
R501 c0 b474 m7849.0 rU
R502 c0 b528 m8797.0 rB
R503 c0 b498 m8269.0 rD
R504 c0 b498 m8269.0 rW
R505 c0 b528 m8767.0 rL
R506 c0 b498 m8239.0 rW
R507 c0 b528 m8737.0 rS
R508 c0 b510 m8473.0 rU
R509 c0 b570 m9493.0 rU
R510 c0 b606 m10063.0 rD
R511 c0 b606 m10063.0 rW
R512 c0 b678 m11275.0 rD
R513 c0 b678 m11275.0 rU
R514 c0 b720 m11953.0 rU
R515 c0 b762 m12673.0 rL
R516 c0 b720 m11911.0 rL
R517 c0 b672 m11191.0 rU
R518 c0 b714 m11863.0 rL
R519 c0 b630 m10435.0 rL
R520 c0 b594 m9805.0 rU
R521 c0 b624 m10399.0 rL
R522 c0 b588 m9775.0 rU
R523 c0 b624 m10363.0 rU
R524 c0 b660 m10987.0 rU
R525 c0 b702 m11647.0 rU
R526 c0 b744 m12349.0 rL
R527 c0 b702 m11605.0 rW
R528 c0 b744 m12307.0 rL
R529 c0 b696 m11563.0 rL
R530 c0 b654 m10867.0 rL
R531 c0 b618 m10213.0 rD
R532 c0 b618 m10213.0 rH
R533 c0 b576 m9595.0 rB
R534 c0 b546 m9019.0 rL
R535 c0 b510 m8473.0 rB
R536 c0 b480 m7963.0 rB
R537 c0 b450 m7483.0 rL
R538 c0 b426 m7033.0 rJ
R539 c0 b462 m7672.0 rW
R540 c0 b492 m8134.0 rL
R541 c0 b462 m7642.0 rU
R542 c0 b492 m8104.0 rD
R543 c0 b492 m8104.0 rL
R544 c0 b462 m7612.0 rU
R545 c0 b486 m8074.0 rS
R546 c0 b474 m7831.0 rD
R547 c0 b474 m7831.0 rW
R548 c0 b528 m8779.0 rB
R549 c0 b498 m8251.0 rL
R550 c0 b468 m7753.0 rW
R551 c0 b498 m8221.0 rL
R552 c0 b468 m7723.0 rH
R553 c0 b438 m7255.0 rD
R554 c0 b438 m7255.0 rW
R555 c0 b462 m7693.0 rU
R556 c0 b492 m8155.0 rL
R557 c0 b462 m7663.0 rW
R558 c0 b492 m8125.0 rH
R559 c0 b432 m7141.0 rU
R560 c0 b456 m7573.0 rB
R561 c0 b432 m7117.0 rW
R562 c0 b456 m7549.0 rW
R563 c0 b486 m8005.0 rS
R564 c0 b468 m7762.0 rB
R565 c0 b438 m7294.0 rH
R566 c0 b414 m6856.0 rW
R567 c0 b438 m7270.0 rD
R568 c0 b438 m7270.0 rD
R569 c0 b438 m7270.0 rB
R570 c0 b414 m6832.0 rU
R571 c0 b438 m7246.0 rS
R572 c0 b426 m7027.0 rU
R573 c0 b450 m7453.0 rL
R574 c0 b426 m7003.0 rB
R575 c0 b396 m6577.0 rH
R576 c0 b372 m6181.0 rJ
R577 c0 b408 m6739.0 rL
R578 c0 b384 m6331.0 rW
R579 c0 b408 m6715.0 rD
R580 c0 b408 m6715.0 rS
R581 c0 b396 m6511.0 rU
R582 c0 b420 m6907.0 rL
R583 c0 b390 m6487.0 rB
R584 c0 b366 m6097.0 rW
R585 c0 b390 m6463.0 rJ
R586 c0 b426 m7048.0 rB
R587 c0 b402 m6622.0 rH
R588 c0 b378 m6220.0 rW
R589 c0 b420 m6976.0 rS
