============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: T
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R521 c0 b210 m2946.0 rU
R522 c0 b238 m3366.0 rL
R523 c1 b256 m3128.0 rL
R524 c1 b232 m2872.0 rH
R525 c0 b189 m2640.0 rH
R526 c1 b200 m2451.0 rL
R527 c1 b184 m2251.0 rL
R528 c1 b168 m2067.0 rW
R529 c1 b184 m2235.0 rU
R530 c1 b200 m2419.0 rL
R531 c1 b184 m2219.0 rU
R532 c1 b200 m2403.0 rW
R533 c1 b216 m2603.0 rW
R534 c1 b232 m2819.0 rL
R535 c1 b208 m2587.0 rL
R536 c1 b192 m2379.0 rS
R537 c1 b184 m2283.0 rL
R538 c1 b168 m2099.0 rL
R539 c0 b140 m1931.0 rU
R540 c0 b147 m2071.0 rL
R541 c0 b140 m1924.0 rL
R542 c0 b126 m1784.0 rL
R543 c0 b119 m1658.0 rL
R544 c0 b105 m1420.0 rJ
R545 c0 b112 m1578.0 rU
R546 c0 b119 m1690.0 rL
R547 c0 b105 m1452.0 rB
R548 c0 b98 m1347.0 rS
R549 c0 b91 m1298.0 rL
R550 c0 b91 m1207.0 rL
R551 c0 b84 m1116.0 rU
R552 c0 b91 m1284.0 rU
R553 c0 b98 m1375.0 rW
R554 c0 b105 m1473.0 rU
R555 c0 b112 m1578.0 rU
R556 c0 b119 m1690.0 rU
R557 c0 b133 m1809.0 rU
R558 c0 b140 m1942.0 rL
R559 c0 b133 m1802.0 rL
R560 c0 b119 m1669.0 rS
R561 c0 b119 m1609.5 rL
R562 c0 b105 m1490.5 rB
R563 c0 b98 m1385.5 rL
R564 c0 b91 m1287.5 rU
R565 c0 b98 m1378.5 rW
R566 c0 b105 m1476.5 rB
R567 c0 b98 m1371.5 rB
R568 c0 b91 m1273.5 rU
R569 c0 b105 m1455.5 rB
R570 c0 b98 m1350.5 rU
R571 c0 b105 m1448.5 rL
R572 c0 b91 m1238.5 rW
R573 c0 b98 m1329.5 rW
R574 c0 b105 m1427.5 rB
R575 c0 b98 m1322.5 rH
R576 c0 b84 m1126.5 rL
R577 c0 b77 m1042.5 rW
R578 c0 b84 m1119.5 rW
R579 c0 b91 m1203.5 rU
R580 c0 b91 m1294.5 rH
R581 c0 b91 m1203.5 rD
R582 c0 b91 m1203.5 rL
R583 c0 b84 m1112.5 rL
R584 c0 b77 m1028.5 rL
R585 c0 b70 m951.5 rH
R586 c0 b63 m881.5 rU
R587 c0 b70 m944.5 rL
R588 c0 b63 m874.5 rU
R589 c0 b70 m937.5 rS
R590 c0 b70 m902.5 rU
R591 c0 b70 m972.5 rU
R592 c0 b77 m1042.5 rL
R593 c0 b70 m965.5 rH
R594 c0 b63 m895.5 rU
R595 c0 b70 m958.5 rB
R596 c0 b63 m888.5 rL
R597 c0 b63 m825.5 rB
R598 c0 b56 m762.5 rB
R599 c0 b56 m706.5 rU
R600 c0 b56 m762.5 rU
R601 c0 b63 m818.5 rB
R602 c0 b56 m755.5 rL
R603 c0 b49 m699.5 rH
R604 c0 b49 m650.5 rS
R605 c0 b49 m626.0 rL
R606 c0 b42 m528.0 rJ
R607 c0 b42 m591.0 rH
R608 c0 b42 m549.0 rW
R609 c0 b42 m591.0 rD
R610 c0 b42 m591.0 rU
R611 c0 b49 m633.0 rH
R612 c0 b42 m584.0 rW
R613 c0 b49 m626.0 rW
R614 c0 b49 m675.0 rL
R615 c0 b49 m626.0 rB
R616 c0 b42 m577.0 rB
R617 c0 b42 m535.0 rL
R618 c0 b35 m493.0 rW
R619 c0 b42 m528.0 rW
R620 c0 b42 m570.0 rH
R621 c0 b35 m486.0 rW
R622 c0 b42 m521.0 rL
R623 c0 b35 m479.0 rH
R624 c0 b35 m409.0 rH
R625 c0 b28 m339.0 rD
R626 c0 b28 m339.0 rL
R627 c0 b28 m311.0 rB
R628 c0 b21 m283.0 rD
R629 c0 b21 m283.0 rU
R630 c0 b28 m304.0 rL
R631 c0 b21 m248.0 rU
R632 c0 b21 m269.0 rL
R633 c0 b21 m248.0 rU
R634 c0 b21 m269.0 rU
R635 c0 b21 m290.0 rL
R636 c0 b21 m269.0 rJ
R637 c0 b28 m301.0 rL
R638 c0 b21 m245.0 rU
R639 c0 b21 m266.0 rL
R640 c0 b21 m245.0 rH
R641 c0 b21 m224.0 rS
R642 c0 b21 m213.5 rU
R643 c0 b21 m234.5 rW
R644 c0 b21 m255.5 rD
R645 c0 b21 m255.5 rU
R646 c0 b21 m276.5 rL
R647 c0 b21 m255.5 rU
R648 c0 b21 m276.5 rL
R649 c0 b21 m255.5 rB
R650 c0 b21 m234.5 rU
R651 c0 b21 m255.5 rD
R652 c0 b21 m255.5 rW
R653 c0 b21 m276.5 rB
R654 c0 b21 m255.5 rL
R655 c0 b21 m234.5 rB
R656 c0 b21 m213.5 rW
R657 c0 b21 m234.5 rL
R658 c0 b14 m192.5 rB
R659 c0 b14 m178.5 rL
R660 c0 b14 m164.5 rU
R661 c0 b14 m178.5 rD
R662 c0 b14 m178.5 rH
R663 c0 b14 m164.5 rB
R664 c0 b14 m150.5 rB
R665 c0 b14 m136.5 rL
R666 c0 b14 m122.5 rB
R667 c0 b14 m108.5 rW
R668 c0 b14 m122.5 rL
R669 c0 b7 m94.5 rS
R670 c0 b7 m91.0 rB
R671 c0 b7 m84.0 rH
R672 c0 b7 m77.0 rS
R673 c0 b7 m73.5 rD
R674 c0 b7 m73.5 rU
R675 c0 b7 m87.5 rW
R676 c0 b7 m94.5 rU
R677 c0 b14 m101.5 rU
R678 c0 b14 m115.5 rH
R679 c0 b14 m101.5 rW
R680 c0 b14 m129.5 rU
R681 c0 b14 m143.5 rJ
R682 c0 b14 m164.5 rB
R683 c0 b14 m150.5 rU
R684 c0 b14 m164.5 rH
R685 c0 b14 m150.5 rS
R686 c0 b14 m143.5 rL
R687 c0 b14 m129.5 rB
R688 c0 b14 m115.5 rU
R689 c0 b14 m129.5 rL
R690 c0 b14 m115.5 rS
R691 c0 b14 m108.5 rU
R692 c0 b14 m136.5 rL
R693 c0 b14 m122.5 rB
R694 c0 b14 m108.5 rU
R695 c0 b14 m122.5 rL
R696 c0 b7 m94.5 rD
R697 c0 b6 m94.5 rL
R698 c0 b6 m82.5 rS
R699 c0 b7 m79.5 rW
