============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: T
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R256 c10 b1188 m9807.5 rJ
R257 c10 b1392 m11589.5 rW
R258 c10 b1728 m14373.5 rW
R259 c10 b2148 m17829.5 rS
R260 c10 b2016 m16755.5 rU
R261 c8 b2068 m18771.5 rU
R262 c6 b2299 m20839.5 rW
R263 c7 b2552 m23138.5 rU
R264 c10 b3084 m25690.5 rJ
R265 c10 b3648 m30316.5 rL
R266 c10 b3204 m26668.5 rW
R267 c8 b3289 m29872.5 rL
R268 c9 b3192 m26583.5 rU
R269 c7 b3278 m29775.5 rB
R270 c7 b2915 m26497.5 rL
R271 c8 b2832 m23582.5 rU
R272 c6 b2915 m26414.5 rL
R273 c9 b2820 m23499.5 rJ
R274 c9 b3336 m27729.5 rL
R275 c10 b2532 m21057.5 rL
R276 c10 b2232 m18525.5 rW
R277 c10 b2496 m20757.5 rB
R278 c10 b2196 m18261.5 rH
R279 c10 b1668 m13869.5 rU
R280 c10 b2076 m17205.5 rU
R281 c9 b2316 m19281.5 rU
R282 c8 b2592 m21597.5 rS
R283 c10 b2448 m20301.5 rU
R284 c10 b2736 m22749.5 rU
R285 c10 b3060 m25485.5 rU
R286 c9 b3804 m31605.5 rU
R287 c6 b3905 m35409.5 rD
R288 c8 b4260 m35409.5 rD
R289 c10 b4260 m35409.5 rU
R290 c10 b4764 m39669.5 rB
R291 c8 b3850 m34905.5 rL
R292 c9 b3732 m31055.5 rH
R293 c7 b3014 m27323.5 rD
R294 c9 b3288 m27323.5 rL
R295 c9 b2892 m24035.5 rW
R296 c9 b3240 m26927.5 rW
R297 c7 b3322 m30167.5 rH
R298 c6 b2959 m26845.5 rW
R299 c6 b3608 m32763.5 rJ
R300 c6 b4202 m38175.5 rU
R301 c7 b4664 m42377.5 rS
R302 c8 b4812 m40045.5 rH
R303 c8 b4236 m35233.5 rU
R304 c5 b3950 m39469.5 rD
R305 c3 b3555 m39469.5 rL
R306 c5 b3600 m35914.5 rW
R307 c5 b3960 m39514.5 rL
R308 c4 b3560 m35554.5 rU
R309 c1 b3136 m39114.5 rL
R310 c0 b2520 m35978.5 rL
R311 c0 b2345 m33458.5 rL
R312 c0 b2184 m31113.5 rS
R313 c1 b2408 m30021.5 rL
R314 c0 b1939 m27613.5 rU
R315 c-2 b1480 m29552.5 rH
R316 c-3 b1064 m26592.5 rB
R317 c-4 b768 m25528.5 rL
R318 c-3 b992 m24760.5 rS
R319 c-4 b729 m24264.5 rB
R320 c-4 b708 m23535.5 rW
R321 c-5 b729 m24243.5 rL
R322 c-1 b1180 m23514.5 rB
R323 c-3 b896 m22334.5 rW
R324 c-4 b726 m24126.5 rL
R325 c-1 b1175 m23400.5 rU
R326 c0 b1476 m24575.5 rL
R327 c2 b2079 m23099.5 rH
R328 c0 b1477 m21020.5 rD
R329 c1 b1688 m21020.5 rH
R330 c-1 b970 m19332.5 rJ
R331 c-1 b1040 m20787.5 rW
R332 c-3 b876 m21827.5 rU
R333 c-6 b456 m22703.5 rW
R334 c-4 b696 m23159.5 rU
