============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: T
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R311 c0 b1968 m32722.5 rU
R312 c-1 b1735 m34690.5 rW
R313 c-1 b1825 m36425.5 rL
R314 c0 b2082 m34600.5 rL
R315 c0 b1956 m32518.5 rL
R316 c0 b1836 m30562.5 rU
R317 c-1 b1620 m32398.5 rU
R318 c-1 b1705 m34018.5 rJ
R319 c-1 b1830 m36576.5 rL
R320 c-1 b1740 m34746.5 rU
R321 c-1 b1825 m36486.5 rJ
R322 c-1 b1965 m39224.5 rB
R323 c-1 b1865 m37259.5 rW
R324 c-1 b1960 m39124.5 rL
R325 c-1 b1860 m37164.5 rS
R326 c-1 b1815 m36234.5 rW
R327 c-1 b1995 m39864.5 rU
R328 c-1 b2095 m41859.5 rW
R329 c-1 b2305 m46049.5 rU
R330 c-1 b2420 m48354.5 rS
R331 c-1 b2360 m47144.5 rL
R332 c-1 b2125 m42424.5 rU
R333 c-1 b2230 m44549.5 rU
R334 c-1 b2455 m49009.5 rL
R335 c-1 b2330 m46554.5 rD
R336 c-1 b2330 m46554.5 rL
R337 c-1 b2215 m44224.5 rD
R338 c-1 b2215 m44224.5 rD
R339 c-1 b2215 m44224.5 rL
R340 c-1 b1990 m39794.5 rB
R341 c-1 b1895 m37804.5 rW
R342 c-1 b1985 m39699.5 rL
R343 c-1 b1890 m37714.5 rL
R344 c-1 b1795 m35824.5 rS
R345 c-1 b1750 m34927.0 rL
R346 c-1 b1660 m33177.0 rU
R347 c-1 b1825 m36497.0 rS
R348 c-1 b1780 m35584.5 rW
R349 c-1 b1870 m37364.5 rJ
R350 c-1 b2010 m40169.5 rH
R351 c-1 b1910 m38159.5 rU
R352 c-1 b2005 m40069.5 rU
R353 c-1 b2205 m44079.5 rL
R354 c-1 b2095 m41874.5 rL
R355 c-1 b1990 m39779.5 rH
R356 c-1 b1790 m35799.5 rU
R357 c-1 b1880 m37589.5 rL
R358 c-1 b1790 m35709.5 rW
R359 c-1 b1875 m37499.5 rU
R360 c-1 b2065 m41249.5 rS
R361 c-1 b2015 m40217.0 rH
R362 c-1 b1915 m38202.0 rD
R363 c-1 b1915 m38202.0 rU
R364 c-1 b2010 m40117.0 rL
R365 c-1 b1805 m36097.0 rB
R366 c-1 b1715 m34292.0 rW
R367 c-1 b1805 m36007.0 rU
R368 c-1 b1895 m37812.0 rU
R369 c-1 b1990 m39707.0 rL
R370 c-1 b1890 m37717.0 rW
R371 c-1 b1985 m39607.0 rL
R372 c-1 b1785 m35637.0 rU
R373 c-1 b1875 m37422.0 rS
R374 c-1 b1825 m36484.5 rU
R375 c-1 b1920 m38309.5 rU
R376 c-1 b2015 m40229.5 rW
R377 c-1 b2115 m42244.5 rB
R378 c-1 b2010 m40129.5 rL
R379 c-1 b1910 m38119.5 rS
R380 c-1 b1860 m37164.5 rU
R381 c-1 b2045 m40884.5 rD
R382 c-1 b2045 m40884.5 rB
R383 c-1 b1945 m38839.5 rH
R384 c-1 b1845 m36894.5 rJ
R385 c-1 b1985 m39662.5 rS
R386 c-1 b1935 m38670.0 rW
R387 c-1 b2035 m40605.0 rH
R388 c-1 b1930 m38570.0 rH
R389 c-1 b1835 m36640.0 rL
R390 c-1 b1745 m34805.0 rS
R391 c-1 b1700 m33932.5 rL
R392 c-1 b1615 m32232.5 rU
R393 c-1 b1695 m33847.5 rD
R394 c-1 b1695 m33847.5 rL
R395 c-1 b1610 m32152.5 rU
R396 c-1 b1690 m33762.5 rS
R397 c-1 b1650 m32917.5 rB
R398 c-1 b1565 m31267.5 rU
R399 c-1 b1645 m32832.5 rU
R400 c-1 b1810 m36122.5 rH
R401 c-1 b1720 m34312.5 rD
R402 c-1 b1720 m34312.5 rL
R403 c-1 b1630 m32592.5 rL
R404 c-1 b1550 m30962.5 rS
R405 c-1 b1510 m30187.5 rH
R406 c-1 b1360 m27167.5 rU
R407 c-1 b1430 m28527.5 rU
R408 c-1 b1500 m29957.5 rS
R409 c-1 b1465 m29207.5 rB
R410 c-1 b1390 m27742.5 rJ
R411 c-1 b1495 m29827.5 rL
R412 c-1 b1420 m28332.5 rL
R413 c-1 b1275 m25492.5 rL
R414 c0 b1458 m24217.5 rB
R415 c0 b1368 m22759.5 rB
R416 c0 b1284 m21391.5 rL
R417 c0 b1134 m18823.5 rJ
R418 c0 b1236 m20524.5 rB
R419 c0 b1158 m19288.5 rU
R420 c0 b1230 m20446.5 rB
R421 c0 b1158 m19216.5 rW
R422 c-1 b1020 m20374.5 rL
R423 c-1 b970 m19354.5 rJ
R424 c-1 b1045 m20809.5 rJ
R425 c-1 b1120 m22377.5 rW
R426 c-1 b1175 m23497.5 rU
R427 c-1 b1235 m24672.5 rB
R428 c-1 b1175 m23437.5 rL
R429 c-1 b1115 m22262.5 rB
R430 c-1 b1060 m21147.5 rW
R431 c-1 b1165 m23267.5 rJ
R432 c-1 b1255 m25015.5 rD
R433 c-1 b1255 m25015.5 rU
R434 c-1 b1315 m26270.5 rL
R435 c-1 b1250 m24955.5 rW
R436 c-1 b1315 m26205.5 rW
R437 c-1 b1380 m27520.5 rB
R438 c-1 b1310 m26140.5 rH
R439 c-1 b1245 m24830.5 rH
R440 c-1 b1180 m23585.5 rL
R441 c-1 b1125 m22405.5 rJ
R442 c-1 b1205 m24093.5 rD
R443 c-1 b1205 m24093.5 rU
R444 c-1 b1265 m25298.5 rL
R445 c-1 b1205 m24033.5 rS
R446 c-1 b1175 m23431.0 rL
R447 c0 b1338 m22256.0 rJ
R448 c0 b1458 m24263.0 rD
R449 c0 b1458 m24263.0 rU
R450 c0 b1548 m25721.0 rL
R451 c0 b1452 m24173.0 rW
R452 c0 b1542 m25625.0 rB
R453 c0 b1446 m24083.0 rH
R454 c0 b1362 m22637.0 rU
R455 c0 b1524 m25361.0 rS
R456 c0 b1476 m24599.0 rD
R457 c-1 b1230 m24599.0 rS
R458 c-1 b1200 m23984.0 rJ
R459 c-1 b1290 m25784.0 rW
R460 c0 b1626 m27074.0 rU
R461 c0 b1722 m28700.0 rU
R462 c0 b1830 m30422.0 rW
R463 c0 b1938 m32252.0 rL
R464 c0 b1824 m30314.0 rU
R465 c0 b1932 m32138.0 rL
R466 c0 b1818 m30206.0 rL
R467 c0 b1704 m28388.0 rW
R468 c0 b1806 m30092.0 rW
R469 c0 b1914 m31898.0 rL
R470 c0 b1686 m28070.0 rH
R471 c0 b1584 m26384.0 rL
R472 c0 b1488 m24800.0 rW
R473 c0 b1578 m26288.0 rH
R474 c-1 b1240 m24710.0 rS
R475 c-1 b1205 m24090.0 rU
R476 c-1 b1265 m25295.0 rU
R477 c-1 b1330 m26560.0 rL
R478 c-1 b1265 m25230.0 rU
R479 c-1 b1390 m27760.0 rU
R480 c-1 b1530 m30540.0 rU
R481 c-1 b1605 m32070.0 rW
R482 c0 b2118 m35280.0 rU
R483 c0 b2244 m37398.0 rW
R484 c0 b2382 m39642.0 rU
R485 c-1 b2105 m42024.0 rW
R486 c-1 b2210 m44129.0 rW
R487 c-1 b2320 m46339.0 rS
