============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: X
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R533 c9 b1428 m11887.0 rL
R534 c10 b1260 m10459.0 rW
R535 c8 b1416 m11719.0 rL
R536 c10 b1248 m10303.0 rL
R537 c8 b1092 m9055.0 rS
R538 c7 b946 m8509.0 rH
R539 c10 b912 m7563.0 rL
R540 c10 b804 m6651.0 rL
R541 c9 b708 m5847.0 rL
R542 c9 b624 m5139.0 rL
R543 c10 b552 m4515.0 rL
R544 c8 b480 m3963.0 rB
R545 c9 b420 m3483.0 rW
R546 c10 b480 m3903.0 rJ
R547 c7 b517 m4623.0 rD
R548 c10 b564 m4623.0 rL
R549 c10 b492 m4059.0 rU
R550 c10 b552 m4551.0 rL
R551 c10 b480 m3999.0 rU
R552 c10 b600 m4959.0 rH
R553 c9 b528 m4359.0 rL
R554 c10 b468 m3831.0 rB
R555 c9 b408 m3363.0 rD
R556 c10 b408 m3363.0 rS
R557 c8 b384 m3159.0 rW
R558 c10 b480 m3927.0 rL
R559 c10 b360 m2967.0 rL
R560 c10 b276 m2247.0 rH
R561 c8 b240 m1971.0 rL
R562 c6 b198 m1731.0 rS
R563 c6 b187 m1632.0 rH
R564 c10 b180 m1445.0 rD
R565 c6 b165 m1445.0 rW
R566 c6 b187 m1610.0 rB
R567 c5 b150 m1423.0 rD
R568 c10 b180 m1423.0 rU
R569 c10 b204 m1603.0 rU
R570 c10 b228 m1807.0 rW
R571 c10 b252 m2035.0 rS
R572 c10 b240 m1909.0 rH
R573 c10 b204 m1669.0 rU
R574 c10 b252 m2077.0 rW
R575 c7 b264 m2329.0 rL
R576 c10 b252 m2065.0 rU
R577 c10 b288 m2317.0 rU
R578 c8 b324 m2605.0 rU
R579 c10 b396 m3253.0 rU
R580 c9 b444 m3649.0 rU
R581 c8 b552 m4537.0 rS
R582 c10 b516 m4261.0 rL
R583 c10 b396 m3229.0 rL
R584 c8 b348 m2833.0 rL
R585 c10 b300 m2485.0 rB
R586 c8 b264 m2185.0 rB
R587 c7 b220 m1921.0 rU
R588 c6 b242 m2141.0 rW
R589 c7 b264 m2383.0 rD
R590 c10 b288 m2383.0 rS
R591 c10 b276 m2239.0 rL
R592 c10 b240 m1963.0 rL
R593 c10 b216 m1723.0 rW
R594 c7 b220 m1939.0 rU
R595 c10 b264 m2159.0 rL
R596 c9 b228 m1895.0 rU
R597 c10 b288 m2351.0 rU
R598 c10 b324 m2639.0 rL
R599 c10 b240 m1991.0 rB
R600 c9 b216 m1751.0 rL
R601 c7 b176 m1535.0 rL
R602 c8 b168 m1359.0 rU
R603 c10 b204 m1695.0 rU
R604 c10 b228 m1899.0 rH
R605 c10 b180 m1443.0 rW
R606 c10 b204 m1623.0 rD
R607 c7 b187 m1623.0 rH
R608 c10 b156 m1249.0 rD
R609 c9 b156 m1249.0 rU
R610 c9 b180 m1405.0 rL
R611 c10 b156 m1225.0 rL
R612 c10 b132 m1069.0 rU
R613 c10 b156 m1201.0 rJ
R614 c9 b180 m1435.0 rL
R615 c8 b156 m1255.0 rJ
R616 c10 b180 m1489.0 rB
