============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: R
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R561 c0 b5 m50.5 rU
R562 c0 b8 m55.5 rL
R563 c0 b5 m47.5 rW
R564 c0 b9 m52.5 rU
R565 c0 b2 m61.5 rL
R566 c0 b1 m59.5 rJ
R567 c0 b11 m61.5 rU
R568 c0 b7 m72.5 rU
R569 c0 b1 m79.5 rB
R570 c0 b2 m78.5 rB
R571 c0 b10 m76.5 rS
R572 c0 b3 m71.5 rL
R573 c0 b7 m68.5 rL
R574 c0 b5 m61.5 rL
R575 c0 b8 m56.5 rD
R576 c0 b2 m56.5 rL
R577 c0 b5 m54.5 rD
R578 c0 b11 m54.5 rU
R579 c0 b11 m65.5 rW
R580 c0 b11 m87.5 rL
R581 c0 b3 m65.5 rL
R582 c0 b2 m62.5 rS
R583 c0 b9 m61.5 rB
R584 c0 b3 m52.5 rW
R585 c0 b5 m55.5 rU
R586 c0 b4 m60.5 rW
R587 c0 b2 m68.5 rL
R588 c0 b2 m66.5 rL
R589 c0 b7 m62.5 rU
R590 c0 b1 m69.5 rD
R591 c0 b2 m69.5 rW
R592 c0 b8 m71.5 rL
R593 c0 b5 m63.5 rL
R594 c0 b5 m58.5 rL
R595 c0 b2 m53.5 rH
R596 c0 b10 m51.5 rL
R597 c0 b2 m41.5 rB
R598 c0 b5 m39.5 rB
R599 c0 b10 m34.5 rL
R600 c0 b4 m24.5 rL
R601 c0 b3 m20.5 rU
R602 c0 b10 m23.5 rU
R603 c0 b7 m33.5 rH
R604 c0 b11 m26.5 rL
R605 c0 b2 m15.5 rU
R606 c0 b5 m17.5 rL
R607 c0 b11 m12.5 rL
R608
OUT OF MONEY!
