============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: K
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R221 c-3 b2208 m55137.5 rD
R222 c-3 b2208 m55137.5 rU
R223 c-2 b2980 m59553.5 rU
R224 c-1 b3130 m62533.5 rW
R225 c1 b4816 m68793.5 rL
R226 c1 b4144 m59161.5 rB
R227 c0 b3306 m55017.5 rL
R228 c-1 b2590 m51711.5 rL
R229 c-3 b1968 m49121.5 rU
R230 c-2 b2555 m51089.5 rW
R231 c-1 b2810 m56199.5 rW
R232 c-2 b2955 m59009.5 rH
R233 c-1 b2805 m56054.5 rD
R234 c0 b3366 m56054.5 rH
R235 c0 b3162 m52688.5 rL
R236 c0 b2976 m49526.5 rW
R237 c-2 b2630 m52502.5 rS
R238 c-2 b2560 m51187.5 rH
R239 c-4 b1461 m48627.5 rD
R240 c-4 b1461 m48627.5 rS
R241 c-5 b1437 m47897.0 rL
R242 c-2 b2255 m45023.0 rS
R243 c-2 b2195 m43895.5 rW
R244 c-4 b1383 m46090.5 rW
R245 c-3 b1900 m47473.5 rU
R246 c-1 b2470 m49373.5 rL
R247 c1 b3290 m46903.5 rU
R248 c0 b3012 m50193.5 rW
R249 c2 b5067 m56217.5 rB
R250 c1 b4096 m51150.5 rU
R251 c1 b4424 m55246.5 rH
R252 c0 b3563 m50822.5 rL
R253 c1 b3784 m47259.5 rU
R254 c1 b3577 m51043.5 rB
R255 c0 b2850 m47466.5 rB
R256 c0 b3129 m44616.5 rU
R257 c1 b3824 m47745.5 rB
R258 c0 b3080 m43921.5 rD
R259 c0 b2640 m43921.5 rD
R260 c0 b2640 m43921.5 rJ
R261 c0 b2874 m47881.5 rW
R262 c-1 b2540 m50755.5 rU
R263 c0 b3731 m53295.5 rL
R264 c0 b3472 m49564.5 rJ
R265 c0 b3288 m54772.5 rS
R266 c0 b3192 m53128.5 rB
R267 c0 b3000 m49936.5 rU
R268 c0 b3180 m52936.5 rW
R269 c0 b3372 m56116.5 rH
R270 c-2 b2640 m52744.5 rW
R271 c0 b3486 m58024.5 rS
R272 c0 b3941 m56281.5 rS
R273 c1 b4352 m54311.0 rB
R274 c2 b4000 m49959.0 rU
R275 c4 b4860 m53959.0 rW
R276 c5 b5890 m58819.0 rH
R277 c4 b5300 m52929.0 rS
R278 c4 b4527 m50279.0 rU
R279 c3 b4941 m54806.0 rJ
R280 c2 b5607 m62218.0 rS
R281 c2 b5355 m59414.5 rL
R282 c3 b4392 m48704.5 rS
R283 c2 b4194 m46508.5 rU
R284 c3 b4941 m54896.5 rD
R285 c4 b5490 m54896.5 rB
R286 c4 b4455 m49406.5 rL
R287 c4 b4050 m44951.5 rS
R288 c3 b3870 m42926.5 rW
R289 c2 b4212 m46796.5 rL
R290 c3 b3834 m42584.5 rS
R291 c3 b3663 m40667.5 rS
R292 c2 b3501 m38836.0 rL
R293 c2 b2832 m35335.0 rB
R294 c1 b2282 m32503.0 rW
R295 c0 b2436 m34785.0 rW
R296 c2 b2984 m37221.0 rW
R297 c1 b3224 m40205.0 rL
R298 c0 b2590 m36981.0 rL
R299 c0 b2064 m34391.0 rS
R300 c1 b2338 m33359.0 rL
R301 c2 b2488 m31021.0 rH
R302 c1 b2288 m28533.0 rU
R303 c1 b2163 m30821.0 rD
R304 c2 b2781 m30821.0 rB
R305 c2 b2248 m28040.0 rW
R306 c2 b2934 m32536.0 rL
R307 c3 b2673 m29602.0 rU
R308 c4 b3230 m32275.0 rU
R309 c3 b3204 m35505.0 rW
R310 c2 b3492 m38709.0 rD
R311 c2 b3492 m38709.0 rU
R312 c2 b3384 m42201.0 rS
R313 c1 b3248 m40509.0 rB
R314 c0 b2611 m37261.0 rU
R315 c0 b2394 m39872.0 rL
R316 c-2 b1875 m37478.0 rW
R317 c-2 b1970 m39353.0 rJ
R318 c-3 b1696 m42308.0 rL
R319 c-2 b2035 m40612.0 rL
R320 c-1 b1930 m38577.0 rL
R321 c1 b2569 m36647.0 rU
R322 c0 b2751 m39216.0 rD
R323 c2 b3537 m39216.0 rB
R324 c1 b2856 m35679.0 rW
R325 c1 b2702 m38535.0 rW
R326 c0 b2891 m41237.0 rW
R327 c1 b3094 m44128.0 rL
R328 c0 b2466 m41034.0 rU
R329 c1 b3480 m43500.0 rS
R330 c1 b2926 m41760.0 rW
R331 c1 b3129 m44686.0 rU
R332 c0 b2874 m47815.0 rL
R333 c0 b3150 m44941.0 rH
R334 c0 b2508 m41791.0 rU
R335 c0 b2658 m44299.0 rS
R336 c0 b3010 m42970.0 rL
R337 c2 b2960 m36950.0 rH
