============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: Z
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R239 c-1 b1085 m21609.0 rJ
R240 c-3 b932 m23237.0 rU
R241 c-3 b968 m24169.0 rJ
R242 c-1 b1285 m25621.0 rL
R243 c-1 b1220 m24336.0 rW
R244 c0 b1792 m25556.0 rH
R245 c2 b1904 m23764.0 rL
R246 c5 b2000 m19956.0 rB
R247 c6 b1800 m17956.0 rB
R248 c6 b1782 m16156.0 rS
R249 c5 b1530 m15265.0 rL
R250 c4 b1380 m13735.0 rB
R251 c2 b992 m12355.0 rW
R252 c-1 b670 m13347.0 rL
R253 c-2 b635 m12677.0 rS
R254 c-3 b496 m12359.5 rW
R255 c-3 b516 m12855.5 rW
R256 c-6 b268 m13371.5 rB
R257 c-5 b396 m13103.5 rL
R258 c-1 b640 m12707.5 rB
R259 c-3 b484 m12067.5 rL
R260 c0 b777 m11099.5 rU
R261 c2 b1071 m11876.5 rU
R262 c2 b1040 m12947.5 rL
R263 c4 b981 m10867.5 rL
R264 c2 b891 m9886.5 rL
R265 c3 b810 m8995.5 rL
R266 c4 b820 m8185.5 rS
R267 c4 b780 m7775.5 rU
R268 c5 b860 m8555.5 rU
R269 c7 b1045 m9415.5 rB
R270 c5 b840 m8370.5 rJ
R271 c2 b873 m9630.5 rW
R272 c0 b636 m10503.5 rB
R273 c-1 b495 m9867.5 rW
R274 c-2 b520 m10362.5 rW
R275 c-4 b327 m10882.5 rS
R276 c-3 b432 m10719.0 rU
R277 c-2 b560 m11151.0 rU
R278 c-1 b615 m12271.0 rW
R279 c-2 b645 m12886.0 rH
R280 c0 b696 m11596.0 rH
R281 c-2 b545 m10900.0 rU
R282 c-3 b460 m11445.0 rS
R283 c-2 b565 m11215.0 rL
R284 c0 b642 m10650.0 rU
R285 c-1 b565 m11292.0 rJ
R286 c-1 b610 m12140.0 rL
R287 c0 b696 m11530.0 rD
R288 c0 b812 m11530.0 rW
R289 c1 b992 m12342.0 rH
R290 c-1 b570 m11350.0 rL
R291 c-2 b515 m10210.0 rD
R292 c-3 b412 m10210.0 rL
R293 c-5 b294 m9798.0 rU
R294 c-3 b404 m10092.0 rU
R295 c-1 b545 m10900.0 rW
R296 c-3 b460 m11445.0 rU
R297 c-2 b620 m12365.0 rL
R298 c-4 b354 m11745.0 rW
R299 c-5 b363 m12099.0 rS
R300 c-6 b240 m11917.5 rS
R301 c-6 b236 m11797.5 rS
R302 c-7 b234 m11679.5 rD
R303 c-8 b117 m11679.5 rW
R304 c-5 b360 m11913.5 rJ
R305 c-8 b125 m12453.5 rH
R306 c-8 b124 m12328.5 rL
R307 c-3 b492 m12204.5 rL
R308 c-5 b354 m11712.5 rD
R309 c-9 b118 m11712.5 rU
R310 c-10 b119 m11830.5 rD
R311 c-10 b119 m11830.5 rU
R312 c-8 b120 m11949.5 rU
R313 c-8 b122 m12189.5 rL
R314 c-3 b484 m12067.5 rL
R315 c-6 b232 m11583.5 rW
R316 c-4 b357 m11815.5 rH
R317 c-4 b345 m11458.5 rS
R318 c-3 b452 m11286.0 rH
R319 c-5 b327 m10834.0 rL
R320 c-3 b424 m10507.0 rH
R321 c-4 b303 m10083.0 rL
R322 c-6 b196 m9780.0 rJ
R323 c-7 b202 m10074.0 rW
R324 c-8 b103 m10276.0 rW
R325 c-9 b104 m10379.0 rU
R326 c-10 b105 m10483.0 rL
R327 c-8 b104 m10378.0 rD
R328 c-9 b104 m10378.0 rL
R329 c-6 b206 m10274.0 rS
R330 c-7 b204 m10171.0 rW
R331 c-5 b312 m10375.0 rJ
R332 c-5 b327 m10843.0 rU
R333 c-2 b560 m11170.0 rH
R334 c-3 b428 m10610.0 rL
R335 c-1 b510 m10182.0 rH
R336 c-2 b485 m9672.0 rW
R337 c-3 b408 m10157.0 rH
R338 c-1 b490 m9749.0 rU
R339 c-1 b515 m10239.0 rU
R340 c-2 b540 m10754.0 rL
R341 c1 b721 m10214.0 rU
R342 c1 b770 m10935.0 rB
R343 c1 b816 m10165.0 rS
R344 c1 b784 m9757.0 rH
R345 c-3 b360 m8973.0 rS
R346 c-3 b352 m8793.0 rU
R347 c1 b644 m9145.0 rB
R348 c1 b602 m8501.0 rW
R349 c1 b644 m9103.0 rU
R350 c0 b588 m9747.0 rL
R351 c0 b644 m9159.0 rL
R352 c2 b688 m8515.0 rD
R353 c0 b516 m8515.0 rB
R354 c-2 b400 m7999.0 rS
R355 c-3 b312 m7799.0 rS
R356 c-2 b385 m7643.0 rU
R357 c0 b486 m8028.0 rU
R358 c0 b516 m8514.0 rW
R359 c-3 b364 m9030.0 rW
R360 c-4 b282 m9394.0 rL
R361 c-2 b445 m8830.0 rH
R362 c-3 b336 m8385.0 rD
R363 c-3 b336 m8385.0 rD
R364 c-4 b252 m8385.0 rJ
R365 c-5 b264 m8763.0 rU
R366 c-4 b273 m9027.0 rS
R367 c-5 b267 m8890.5 rU
R368 c-7 b184 m9157.5 rL
R369 c-6 b180 m8973.5 rL
R370 c-5 b264 m8793.5 rW
R371 c-5 b273 m9057.5 rU
R372 c-7 b188 m9330.5 rB
R373 c-7 b184 m9142.5 rL
R374 c-4 b264 m8774.5 rW
R375 c-6 b182 m9038.5 rL
R376 c-4 b267 m8856.5 rH
R377 c-4 b258 m8589.5 rB
R378 c-5 b252 m8331.5 rL
R379 c-4 b243 m8079.5 rD
R380 c-4 b243 m8079.5 rU
R381 c-2 b420 m8322.5 rL
R382 c-1 b400 m7902.5 rL
R383 c4 b684 m7502.5 rU
R384 c4 b738 m8186.5 rL
R385 c1 b525 m7448.5 rS
R386 c0 b432 m7186.0 rH
R387 c1 b544 m6754.0 rL
R388 c1 b504 m6210.0 rW
R389 c-1 b340 m6714.0 rJ
R390 c-2 b365 m7224.0 rU
R391 c-1 b380 m7589.0 rU
R392 c-2 b400 m7969.0 rL
R393 c-1 b380 m7569.0 rU
R394 c-1 b400 m7949.0 rW
R395 c-3 b336 m8349.0 rU
R396 c-1 b455 m9021.0 rD
R397 c-1 b455 m9021.0 rU
R398 c0 b570 m9476.0 rL
R399 c0 b540 m8906.0 rB
R400 c-1 b420 m8366.0 rU
R401 c-1 b440 m8786.0 rH
R402 c3 b756 m8346.0 rD
R403 c0 b504 m8346.0 rD
R404 c0 b588 m8346.0 rW
R405 c0 b630 m8934.0 rU
R406 c1 b714 m10194.0 rU
R407 c1 b770 m10908.0 rL
R408 c1 b816 m10138.0 rL
R409 c2 b752 m9322.0 rU
R410 c0 b707 m10074.0 rW
R411 c-1 b540 m10781.0 rW
R412 c-1 b570 m11321.0 rW
R413 c-3 b476 m11891.0 rB
R414 c-3 b460 m11415.0 rS
R415 c-4 b336 m11185.0 rH
R416 c-3 b436 m10849.0 rU
R417 c0 b678 m11285.0 rL
R418 c1 b749 m10607.0 rL
R419 c2 b792 m9858.0 rJ
R420 c1 b777 m11046.0 rL
R421 c-1 b515 m10269.0 rW
R422 c-1 b540 m10784.0 rU
R423 c0 b798 m11324.0 rW
R424 c3 b1098 m12122.0 rU
R425 c1 b931 m13220.0 rL
R426 c2 b984 m12289.0 rD
R427 c2 b984 m12289.0 rH
R428 c-1 b570 m11305.0 rS
R429 c-2 b555 m11020.0 rW
R430 c-4 b348 m11575.0 rL
R431 c-3 b436 m10879.0 rU
R432 c-2 b570 m11315.0 rL
R433 c-5 b324 m10745.0 rU
R434 c-5 b333 m11069.0 rL
R435 c-5 b324 m10736.0 rW
R436 c-4 b342 m11384.0 rW
R437 c-3 b472 m11726.0 rH
R438 c-3 b452 m11254.0 rU
R439 c-1 b590 m11706.0 rU
R440 c0 b903 m12886.0 rL
R441 c1 b840 m11983.0 rU
R442 c2 b1233 m13663.0 rD
R443 c-1 b685 m13663.0 rW
R444 c-4 b432 m14348.0 rU
R445 c-4 b444 m14780.0 rH
R446 c-4 b417 m13892.0 rL
R447 c-6 b270 m13475.0 rW
R448 c-3 b564 m14015.0 rU
R449 c-3 b584 m14579.0 rW
R450 c-2 b760 m15163.0 rU
R451 c-5 b480 m15923.0 rB
R452 c-6 b310 m15443.0 rL
R453 c-3 b608 m15133.0 rL
R454 c-3 b584 m14525.0 rS
R455 c-4 b429 m14233.0 rB
R456 c-5 b417 m13804.0 rL
R457 c-2 b670 m13387.0 rL
R458 c-3 b512 m12717.0 rL
R459 c-2 b615 m12205.0 rB
R460 c-4 b348 m11590.0 rU
R461 c-5 b360 m11938.0 rB
R462 c-5 b348 m11578.0 rU
R463 c-4 b360 m11926.0 rB
R464 c-4 b348 m11566.0 rB
R465 c-6 b226 m11218.0 rU
R466 c-3 b460 m11444.0 rU
R467 c-3 b480 m11904.0 rU
R468 c-4 b372 m12384.0 rB
R469 c-4 b363 m12012.0 rW
R470 c-5 b372 m12375.0 rL
R471 c-3 b468 m11631.0 rJ
R472 c-4 b372 m12333.0 rH
R473 c-5 b360 m11961.0 rH
R474 c-4 b339 m11241.0 rW
R475 c-5 b348 m11580.0 rW
R476 c-7 b240 m11928.0 rL
R477 c-6 b234 m11688.0 rL
R478 c-5 b345 m11454.0 rD
R479 c-5 b345 m11454.0 rL
R480 c-3 b448 m11109.0 rS
R481 c-4 b327 m10885.0 rL
R482 c-6 b212 m10558.0 rL
R483 c-7 b208 m10346.0 rW
R484 c-8 b106 m10554.0 rU
R485 c-7 b214 m10660.0 rL
R486 c-4 b309 m10232.0 rU
R487 c-4 b318 m10541.0 rU
R488 c-4 b327 m10859.0 rS
R489 c-3 b428 m10695.5 rU
R490 c-2 b560 m11123.5 rD
R491 c-2 b560 m11123.5 rL
R492 c-1 b530 m10563.5 rW
R493 c-3 b444 m11093.5 rW
R494 c-2 b580 m11537.5 rU
R495 c-1 b610 m12117.5 rL
R496 c-3 b436 m10897.5 rW
R497 c-3 b456 m11333.5 rB
R498 c-5 b327 m10877.5 rH
R499 c-3 b412 m10223.5 rW
R500 c-5 b321 m10635.5 rL
R501 c-4 b312 m10314.5 rL
R502 c-3 b404 m10002.5 rW
R503 c-1 b545 m10810.5 rH
R504 c-1 b515 m10265.5 rB
R505 c-2 b490 m9750.5 rW
R506 c-1 b515 m10240.5 rH
R507 c-2 b490 m9725.5 rW
R508 c-1 b540 m10705.5 rU
R509 c0 b678 m11245.5 rW
R510 c0 b840 m11923.5 rU
R511 c-1 b640 m12763.5 rS
R512 c-2 b625 m12443.5 rL
R513 c0 b833 m11818.5 rL
R514 c3 b918 m10152.5 rH
R515 c5 b840 m8316.5 rB
R516 c5 b750 m7476.5 rU
R517 c6 b900 m8976.5 rB
R518 c3 b729 m8076.5 rL
R519 c5 b740 m7347.5 rS
R520 c4 b700 m6977.5 rD
R521 c4 b700 m6977.5 rL
R522 c4 b630 m6277.5 rU
R523 c3 b630 m6907.5 rU
R524 c2 b656 m8167.5 rL
R525 c3 b684 m7511.5 rS
R526 c3 b648 m7169.5 rU
R527 c4 b711 m7817.5 rL
R528 c2 b648 m7106.5 rL
R529 c0 b390 m6458.5 rW
R530 c-2 b345 m6848.5 rU
R531 c0 b432 m7193.5 rD
R532 c1 b504 m7193.5 rS
R533 c1 b490 m6941.5 rU
R534 c0 b450 m7431.5 rU
R535 c0 b474 m7881.5 rH
R536 c-1 b375 m7407.5 rU
R537 c0 b468 m7782.5 rS
R538 c0 b532 m7548.5 rD
R539 c-1 b380 m7548.5 rD
R540 c0 b456 m7548.5 rH
R541 c-1 b355 m7092.5 rW
R542 c1 b600 m7447.5 rS
R543 c1 b504 m7147.5 rB
R544 c0 b402 m6643.5 rL
R545 c2 b504 m6241.5 rW
R546 c0 b408 m6745.5 rL
R547 c-3 b256 m6337.5 rU
R548 c-5 b198 m6593.5 rL
R549 c-5 b192 m6395.5 rW
R550 c-3 b264 m6587.5 rU
R551 c-4 b216 m7115.5 rU
R552 c-3 b296 m7331.5 rH
R553 c-3 b284 m7035.5 rU
R554 c-2 b370 m7319.5 rU
R555 c-1 b385 m7689.5 rH
R556 c0 b444 m7304.5 rB
R557 c-1 b345 m6860.5 rL
R558 c1 b434 m6170.5 rW
R559 c1 b469 m6604.5 rU
R560 c0 b532 m7542.5 rB
R561 c-2 b355 m7010.5 rW
R562 c-1 b370 m7365.5 rD
R563 c-2 b370 m7365.5 rD
R564 c1 b592 m7365.5 rL
R565 c5 b680 m6773.5 rJ
R566 c3 b702 m7793.5 rU
R567 c3 b765 m8495.5 rW
R568 c2 b837 m9260.5 rW
R569 c2 b909 m10097.5 rL
R570 c0 b552 m9188.5 rD
R571 c1 b644 m9188.5 rH
R572 c1 b602 m8544.5 rD
R573 c0 b602 m8544.5 rU
R574 c-1 b460 m9146.5 rL
R575 c-3 b348 m8686.5 rU
R576 c0 b658 m9382.5 rW
R577 c1 b856 m10698.5 rH
R578 c0 b594 m9842.5 rS
R579 c-1 b480 m9545.5 rL
R580 c-1 b455 m9065.5 rB
R581 c-1 b435 m8610.5 rW
R582 c-4 b273 m9045.5 rB
R583 c-4 b264 m8772.5 rU
R584 c-6 b182 m9036.5 rH
R585 c-5 b267 m8854.5 rD
R586 c-2 b445 m8854.5 rB
R587 c-2 b425 m8409.5 rB
R588 c-2 b400 m7984.5 rU
R589 c1 b616 m8784.5 rW
R590 c1 b707 m10016.5 rL
R591 c4 b940 m9309.5 rL
R592 c9 b1008 m8369.5 rU
R593 c6 b1034 m9377.5 rH
R594 c9 b1008 m8343.5 rU
R595 c9 b1128 m9351.5 rW
R596 c11 b1404 m11607.5 rL
R597 c8 b1133 m10203.5 rL
R598 c8 b1092 m9070.5 rU
R599 c8 b1224 m10162.5 rD
R600 c7 b1122 m10162.5 rB
R601 c7 b1001 m9040.5 rL
R602 c9 b852 m7038.5 rW
