============ BLACKJACK AI LOG ============
1 Player, 2 Decks, Rounds: 1000, Mode: 7
MoneyPool: 10000, BetSpread: 12
====================================================
[AI True Count] || Current Bet / Current Money 
====================================================

R226 c18 b7608 m63373.5 rB
R227 c17 b6696 m55765.5 rJ
R228 c16 b7908 m65809.5 rU
R229 c15 b8856 m73717.5 rH
R230 c17 b6732 m56005.5 rH
R231 c19 b5916 m49273.5 rU
R232 c19 b6624 m55189.5 rW
R233 c19 b7428 m61813.5 rL
R234 c19 b5640 m46957.5 rU
R235 c19 b6312 m52597.5 rU
R236 c19 b7080 m58909.5 rB
R237 c20 b6228 m51829.5 rH
R238 c19 b5484 m45601.5 rU
R239 c21 b6132 m51085.5 rD
R240 c21 b6132 m51085.5 rW
R241 c21 b6876 m57217.5 rL
R242 c20 b6048 m50341.5 rW
R243 c19 b6768 m56389.5 rL
R244 c19 b5964 m49621.5 rD
R245 c20 b5964 m49621.5 rU
R246 c19 b6672 m55585.5 rU
R247 c19 b7476 m62257.5 rU
R248 c21 b9276 m77209.5 rW
R249 c22 b10380 m86485.5 rJ
R250 c21 b12252 m102055.5 rH
R251 c21 b10788 m89803.5 rL
R252 c21 b9492 m79015.5 rU
R253 c20 b10632 m88507.5 rL
R254 c21 b9348 m77875.5 rJ
R255 c20 b11028 m91897.5 rL
R256 c20 b9708 m80869.5 rU
R257 c19 b10872 m90577.5 rH
R258 c22 b8268 m68833.5 rU
R259 c22 b9264 m77101.5 rL
R260 c22 b8148 m67837.5 rW
R261 c22 b9120 m75985.5 rH
R262 c23 b8028 m66865.5 rB
R263 c23 b7068 m58837.5 rL
R264 c24 b6216 m51769.5 rD
R265 c24 b6216 m51769.5 rW
R266 c23 b6960 m57985.5 rW
R267 c22 b7800 m64945.5 rL
R268 c24 b6864 m57145.5 rU
R269 c24 b7692 m64009.5 rU
R270 c23 b8616 m71701.5 rS
R271 c23 b8088 m67393.5 rL
R272 c24 b7128 m59305.5 rL
R273 c24 b6264 m52177.5 rL
R274 c23 b5520 m45913.5 rW
R275 c23 b6180 m51433.5 rB
R276 c23 b5436 m45253.5 rU
R277 c22 b6084 m50689.5 rS
R278 c22 b5724 m47647.5 rW
R279 c23 b6408 m53371.5 rU
R280 c21 b7176 m59779.5 rL
R281 c23 b5460 m45427.5 rW
R282 c24 b6108 m50887.5 rD
R283 c24 b6108 m50887.5 rS
R284 c23 b5748 m47833.5 rL
R285 c23 b5052 m42085.5 rU
R286 c22 b5664 m47137.5 rW
R287 c22 b6348 m52801.5 rH
R288 c20 b5580 m46453.5 rW
R289 c20 b6924 m57613.5 rL
R290 c21 b6084 m50689.5 rH
R291 c20 b5364 m44605.5 rW
R292 c20 b6000 m49969.5 rH
R293 c21 b4560 m37969.5 rW
R294 c19 b5112 m42529.5 rW
R295 c21 b5724 m47641.5 rL
R296 c23 b5040 m41917.5 rL
R297 c24 b4428 m36877.5 rJ
R298 c24 b5232 m43519.5 rW
R299 c25 b5856 m48751.5 rL
R300 c27 b5148 m42895.5 rJ
R301 c26 b6084 m50617.5 rU
R302 c26 b6816 m56701.5 rL
R303 c27 b5988 m49885.5 rL
R304 c27 b5268 m43897.5 rW
R305 c26 b5904 m49165.5 rB
R306 c26 b5196 m43261.5 rU
R307 c27 b5820 m48457.5 rB
R308 c27 b5124 m42637.5 rU
R309 c28 b6348 m52885.5 rL
R310 c29 b5592 m46537.5 rS
R311 c30 b5256 m43741.5 rL
R312 c29 b4620 m38485.5 rW
R313 c28 b5184 m43105.5 rS
R314 c27 b4872 m40513.5 rH
R315 c27 b4284 m35641.5 rL
R316 c27 b3768 m31357.5 rW
R317 c26 b4224 m35125.5 rU
R318 c27 b4728 m39349.5 rU
R319 c27 b5292 m44077.5 rU
R320 c27 b6564 m54661.5 rU
R321 c28 b8136 m67789.5 rU
R322 c27 b9120 m75925.5 rU
R323 c27 b10212 m85045.5 rW
R324 c28 b12660 m105469.5 rW
R325 c27 b14184 m118129.5 rW
R326 c27 b15888 m132313.5 rJ
R327 c27 b18744 m156145.5 rS
R328 c27 b17616 m146773.5 rH
R329 c27 b15504 m129157.5 rU
R330 c25 b17364 m144661.5 rW
R331 c25 b19452 m162025.5 rL
R332 c27 b14784 m123121.5 rU
R333 c28 b16560 m137905.5 rU
R334 c28 b18540 m154465.5 rU
R335 c29 b20772 m173005.5 rU
R336 c30 b23256 m193777.5 rW
R337 c30 b26052 m217033.5 rH
R338 c29 b22920 m190981.5 rL
R339 c29 b20172 m168061.5 rW
R340 c30 b22596 m188233.5 rD
R341 c29 b22596 m188233.5 rW
R342 c28 b25308 m210829.5 rL
R343 c29 b22272 m185521.5 rL
R344 c28 b19596 m163249.5 rB
R345 c27 b17244 m143653.5 rL
R346 c27 b15180 m126409.5 rJ
R347 c27 b17904 m149179.5 rL
R348 c27 b15756 m131275.5 rL
R349 c27 b13872 m115519.5 rH
R350 c25 b12204 m101647.5 rS
R351 c26 b11472 m95545.5 rL
R352 c27 b10092 m84073.5 rB
R353 c27 b8880 m73981.5 rU
R354 c30 b9948 m82861.5 rD
R355 c29 b9948 m82861.5 rH
R356 c32 b7560 m62965.5 rW
R357 c32 b8472 m70525.5 rB
R358 c32 b7452 m62053.5 rD
R359 c31 b7452 m62053.5 rD
R360 c30 b7452 m62053.5 rU
R361 c30 b8352 m69505.5 rU
R362 c31 b10356 m86209.5 rW
R363 c30 b11592 m96565.5 rL
R364 c32 b10200 m84973.5 rW
R365 c31 b11424 m95173.5 rL
R366 c31 b10056 m83749.5 rU
R367 c31 b11268 m93805.5 rW
R368 c30 b12612 m105073.5 rB
R369 c30 b11100 m92461.5 rS
R370 c30 b10440 m86911.5 rS
R371 c31 b9804 m81691.5 rL
R372 c33 b8628 m71887.5 rH
R373 c33 b7596 m63259.5 rL
R374 c34 b5772 m48067.5 rU
R375 c34 b7164 m59611.5 rU
R376 c34 b8016 m66775.5 rJ
R377 c34 b9456 m78799.5 rU
R378 c35 b10596 m88255.5 rS
R379 c34 b9960 m82957.5 rU
R380 c34 b11160 m92917.5 rU
R381 c36 b12492 m104077.5 rL
R382 c36 b10992 m91585.5 rL
R383 c36 b9672 m80593.5 rL
R384 c36 b7356 m61249.5 rD
R385 c37 b7356 m61249.5 rH
R386 c37 b6468 m53893.5 rU
R387 c37 b7248 m60361.5 rD
R388 c39 b7248 m60361.5 rL
R389 c38 b6384 m53113.5 rD
R390 c37 b6384 m53113.5 rU
R391 c38 b7140 m59497.5 rU
R392 c38 b8004 m66637.5 rL
R393 c36 b7044 m58633.5 rD
R394 c36 b7044 m58633.5 rL
R395 c37 b6192 m51589.5 rU
R396 c37 b6936 m57781.5 rB
R397 c36 b6108 m50845.5 rW
R398 c36 b6840 m56953.5 rU
R399 c36 b7656 m63793.5 rD
R400 c37 b7656 m63793.5 rH
R401 c37 b6744 m56137.5 rS
R402 c36 b6336 m52765.5 rU
R403 c37 b7860 m65437.5 rB
R404 c36 b6912 m57577.5 rU
R405 c35 b7740 m64489.5 rL
R406 c37 b6816 m56749.5 rW
R407 c35 b7632 m63565.5 rL
R408 c35 b6720 m55933.5 rL
R409 c35 b5916 m49213.5 rL
R410 c37 b4488 m37381.5 rJ
R411 c36 b5304 m44113.5 rS
R412 c36 b4980 m41461.5 rU
R413 c36 b6180 m51421.5 rD
R414 c36 b6180 m51421.5 rU
R415 c37 b6924 m57601.5 rW
R416 c36 b7752 m64525.5 rL
R417 c35 b6816 m56773.5 rL
R418 c35 b6000 m49957.5 rW
R419 c35 b6720 m55957.5 rL
R420 c37 b5112 m42517.5 rU
R421 c36 b5724 m47629.5 rB
R422 c35 b5040 m41905.5 rW
R423 c36 b5640 m46945.5 rW
R424 c36 b6312 m52585.5 rH
R425 c38 b5556 m46273.5 rD
R426 c40 b5556 m46273.5 rU
R427 c39 b6228 m51829.5 rW
R428 c40 b7716 m64285.5 rU
R429 c39 b8652 m72001.5 rS
R430 c39 b8124 m67675.5 rU
R431 c37 b9096 m75799.5 rU
R432 c39 b10188 m84895.5 rL
R433 c38 b8976 m74707.5 rU
R434 c38 b11124 m92659.5 rW
R435 c40 b12456 m103783.5 rJ
R436 c39 b14700 m122467.5 rJ
R437 c38 b17352 m144517.5 rW
R438 c38 b19428 m161869.5 rS
R439 c39 b18264 m152155.5 rB
R440 c38 b16068 m133891.5 rD
R441 c37 b16068 m133891.5 rD
R442 c38 b16068 m133891.5 rW
R443 c37 b18000 m149959.5 rJ
R444 c36 b21240 m176959.5 rW
R445 c35 b23784 m198199.5 rU
R446 c35 b29496 m245767.5 rU
R447 c36 b33036 m275263.5 rU
R448 c36 b36996 m308299.5 rB
R449 c37 b32568 m271303.5 rW
R450 c37 b36468 m303871.5 rS
R451 c36 b34284 m285637.5 rL
R452 c36 b30168 m251353.5 rU
R453 c36 b33792 m281521.5 rL
R454 c38 b29736 m247729.5 rW
R455 c38 b33300 m277465.5 rS
R456 c39 b31308 m260815.5 rU
R457 c38 b35064 m292123.5 rL
R458 c38 b26640 m221995.5 rU
R459 c39 b29844 m248635.5 rL
R460 c40 b26256 m218791.5 rW
R461 c38 b29412 m245047.5 rL
R462 c39 b25884 m215635.5 rL
R463 c40 b22776 m189751.5 rU
R464 c42 b28248 m235303.5 rS
R465 c42 b26544 m221179.5 rU
R466 c43 b29736 m247723.5 rU
R467 c42 b33300 m277459.5 rB
R468 c41 b29304 m244159.5 rW
R469 c42 b36336 m302767.5 rW
R470 c42 b40704 m339103.5 rU
R471 c41 b45588 m379807.5 rU
R472 c42 b51048 m425395.5 rB
R473 c42 b44928 m374347.5 rJ
R474 c42 b53016 m441739.5 rU
R475 c41 b59376 m494755.5 rU
R476 c39 b66504 m554131.5 rU
R477 c41 b74484 m620635.5 rL
R478 c42 b65544 m546151.5 rL
R479 c42 b57684 m480607.5 rW
R480 c41 b64596 m538291.5 rL
R481 c42 b56844 m473695.5 rB
R482 c42 b50028 m416851.5 rL
R483 c43 b44028 m366823.5 rL
R484 c44 b38736 m322795.5 rU
R485 c44 b43392 m361531.5 rW
R486 c42 b48600 m404923.5 rW
R487 c43 b54432 m453523.5 rB
R488 c43 b47892 m399091.5 rH
R489 c41 b42144 m351199.5 rL
R490 c41 b37092 m309055.5 rW
R491 c43 b41544 m346147.5 rD
R492 c44 b41544 m346147.5 rL
R493 c44 b36564 m304603.5 rL
R494 c44 b32172 m268039.5 rD
R495 c42 b32172 m268039.5 rL
R496 c44 b28308 m235867.5 rB
R497 c43 b24912 m207559.5 rU
R498 c42 b27900 m232471.5 rU
R499 c44 b31248 m260371.5 rL
R500 c43 b27504 m229123.5 rW
R501 c44 b34104 m284131.5 rB
R502 c43 b30012 m250027.5 rW
R503 c42 b33612 m280039.5 rL
R504 c44 b29580 m246427.5 rB
R505 c43 b26028 m216847.5 rW
R506 c42 b29148 m242875.5 rS
R507 c42 b27408 m228301.5 rH
R508 c43 b20820 m173485.5 rU
R509 c42 b23328 m194305.5 rW
R510 c44 b26124 m217633.5 rL
R511 c44 b19848 m165385.5 rB
R512 c44 b17472 m145537.5 rD
R513 c43 b17472 m145537.5 rL
R514 c44 b15372 m128065.5 rW
R515 c45 b17220 m143437.5 rU
R516 c44 b19284 m160657.5 rW
R517 c44 b21600 m179941.5 rW
R518 c45 b26784 m223141.5 rS
R519 c45 b25176 m209749.5 rW
R520 c45 b28200 m234925.5 rU
R521 c45 b31584 m263125.5 rU
R522 c45 b35376 m294709.5 rU
R523 c45 b43860 m365461.5 rS
R524 c45 b41232 m343531.5 rU
R525 c44 b46176 m384763.5 rU
R526 c45 b51720 m430939.5 rU
R527 c44 b57924 m482659.5 rU
R528 c43 b64872 m540583.5 rU
R529 c44 b80448 m670327.5 rW
R530 c43 b90096 m750775.5 rU
R531 c44 b111720 m930967.5 rU
R532 c45 b125124 m1042687.5 rH
R533 c46 b110112 m917563.5 rB
R534 c47 b96900 m807451.5 rL
R535 c46 b85272 m710551.5 rL
R536 c47 b75036 m625279.5 rB
R537 c46 b66036 m550243.5 rL
R538 c46 b58116 m484207.5 rD
R539 c48 b58116 m484207.5 rU
R540 c47 b65088 m542323.5 rU
R541 c48 b80700 m672499.5 rU
R542 c47 b90384 m753199.5 rS
R543 c47 b84972 m708007.5 rS
R544 c47 b79872 m665521.5 rU
R545 c46 b89448 m745393.5 rU
R546 c48 b110916 m924289.5 rU
R547 c48 b124236 m1035205.5 rL
R548 c49 b109320 m910969.5 rJ
R549 c48 b129000 m1074949.5 rU
R550 c48 b144480 m1203949.5 rW
R551 c48 b161820 m1348429.5 rU
R552 c47 b181236 m1510249.5 rW
R553 c47 b224736 m1872721.5 rU
R554 c48 b251700 m2097457.5 rW
R555 c48 b281904 m2349157.5 rL
R556 c49 b248076 m2067253.5 rW
R557 c48 b277848 m2315329.5 rU
R558 c48 b344532 m2871025.5 rL
R559 c49 b261840 m2181961.5 rL
R560 c49 b230424 m1920121.5 rW
R561 c49 b258072 m2150545.5 rH
R562 c48 b227100 m1892473.5 rW
R563 c49 b281604 m2346673.5 rH
R564 c49 b247812 m2065069.5 rU
R565 c49 b277548 m2312881.5 rJ
R566 c47 b327516 m2729203.5 rH
R567 c48 b288204 m2401687.5 rS
R568 c48 b270912 m2257585.5 rB
R569 c47 b238404 m1986673.5 rU
R570 c48 b267012 m2225077.5 rS
R571 c47 b250992 m2091571.5 rW
R572 c48 b281112 m2342563.5 rU
R573 c50 b348576 m2904787.5 rU
R574 c49 b390408 m3253363.5 rL
R575 c50 b343560 m2862955.5 rB
R576 c49 b302328 m2519395.5 rH
R577 c49 b266052 m2217067.5 rW
R578 c50 b297984 m2483119.5 rL
